Athletes Name ,Gender,Content Type,Engagement Rate 
Hannah Hidalgo,F,3,0.013035714
Hannah Hidalgo,F,2,0.008464286
Hannah Hidalgo,F,1,0.112598214
Hannah Hidalgo,F,2,0.02925
Hannah Hidalgo,F,1,0.059258929
Hannah Hidalgo,F,1,0.0344375
Hannah Hidalgo,F,3,0.0614375
Hannah Hidalgo,F,3,0.023901786
Hannah Hidalgo,F,1,0.053116071
Hannah Hidalgo,F,1,0.001107143
Hannah Hidalgo,F,1,0.295169643
Hannah Hidalgo,F,1,0.343973214
Hannah Hidalgo,F,1,0.071366071
Hannah Hidalgo,F,1,0.037053571
Hannah Hidalgo,F,3,0.031678571
Hannah Hidalgo,F,3,0.063026786
Hannah Hidalgo,F,2,0.084785714
Hannah Hidalgo,F,1,0.201794643
Hannah Hidalgo,F,1,0.536428571
Hannah Hidalgo,F,1,0.259464286
Hannah Hidalgo,F,1,0.124303571
Hannah Hidalgo,F,1,0.041580357
Hannah Hidalgo,F,1,0.031392857
Hannah Hidalgo,F,1,0.034017857
Hannah Hidalgo,F,1,0.072973214
Hannah Hidalgo,F,3,0.120375
Hannah Hidalgo,F,3,0.162589286
Hannah Hidalgo,F,1,0.141357143
Hannah Hidalgo,F,1,0.179455357
Hannah Hidalgo,F,3,0.037428571
Hannah Hidalgo,F,1,0.074419643
Hannah Hidalgo,F,3,0.01525
Hannah Hidalgo,F,3,0.019125
Hannah Hidalgo,F,1,0.06525
Hannah Hidalgo,F,3,0.021571429
Hannah Hidalgo,F,1,0.1001875
Hannah Hidalgo,F,3,0.038794643
Hannah Hidalgo,F,3,0.430776786
Hannah Hidalgo,F,1,0.074357143
Hannah Hidalgo,F,1,0.1883125
Hannah Hidalgo,F,2,0.001375
JuJu Watkins,F,3,0.009414545
JuJu Watkins,F,3,0.053240909
JuJu Watkins,F,3,0.032013636
JuJu Watkins,F,1,0.168396364
JuJu Watkins,F,3,0.06669
JuJu Watkins,F,3,0.022885455
JuJu Watkins,F,2,0.038207273
JuJu Watkins,F,2,0.087161818
JuJu Watkins,F,2,0.047721818
JuJu Watkins,F,3,0.033303636
JuJu Watkins,F,2,0.018813636
JuJu Watkins,F,3,0.01641
JuJu Watkins,F,3,0.008728182
JuJu Watkins,F,1,0.094837273
JuJu Watkins,F,3,0.094133636
JuJu Watkins,F,2,0.037363636
JuJu Watkins,F,3,0.068921818
JuJu Watkins,F,3,0.028744545
JuJu Watkins,F,1,0.026727273
JuJu Watkins,F,2,0.080861818
JuJu Watkins,F,3,0.042160909
JuJu Watkins,F,2,0.10105
JuJu Watkins,F,3,0.006228182
JuJu Watkins,F,3,0.007076364
JuJu Watkins,F,3,0.012684545
JuJu Watkins,F,3,0.005503636
JuJu Watkins,F,3,0.043074545
JuJu Watkins,F,3,0.108201818
JuJu Watkins,F,3,0.007473636
JuJu Watkins,F,3,0.019221818
JuJu Watkins,F,3,0.014849091
JuJu Watkins,F,3,0.023998182
Braden Smith ,M,1,0.038029316
Braden Smith ,M,1,0.02752443
Braden Smith ,M,3,0.000130293
Braden Smith ,M,2,0.161254072
Braden Smith ,M,2,0.161254072
Braden Smith ,M,1,0.053192182
Braden Smith ,M,3,0.017557003
Braden Smith ,M,1,0.169788274
Braden Smith ,M,1,9.77199E-05
Braden Smith ,M,1,0.086954397
Braden Smith ,M,1,0.08762215
Braden Smith ,M,1,0.092801303
Braden Smith ,M,1,0.14752443
Braden Smith ,M,1,0.226123779
Braden Smith ,M,2,0.136042345
Braden Smith ,M,1,0.030863192
Braden Smith ,M,1,0.04767101
Braden Smith ,M,1,0.609820847
Braden Smith ,M,1,0.097703583
Braden Smith ,M,3,0
Braden Smith ,M,1,0.064967427
Braden Smith ,M,1,0.086791531
Braden Smith ,M,1,0.133973941
Braden Smith ,M,3,0.016758958
Braden Smith ,M,1,0.110260586
Braden Smith ,M,1,0.030700326
Braden Smith ,M,1,0.06757329
Braden Smith ,M,1,0.11276873
Braden Smith ,M,1,0.202785016
