Author,Full.Text
Biden,Good evening.
Biden,"Ella Baker, a giant of the civil rights movement, left us with this wisdom: Give people light and they will find a way."
Biden,Give people light.
Biden,Those are words for our time.
Biden,The current president has cloaked America in darkness for much too long. Too much anger. Too much fear. Too much division.
Biden,"Here and now, I give you my word: If you entrust me with the presidency, I will draw on the best of us not the worst. I will be an ally of the light not of the darkness."
Biden,"It’s time for us, for We the People, to come together."
Biden,"For make no mistake. United we can, and will, overcome this season of darkness in America. We will choose hope over fear, facts over fiction, fairness over privilege."
Biden,"I am a proud Democrat and I will be proud to carry the banner of our party into the general election. So, it is with great honor and humility that I accept this nomination for President of the United States of America."
Biden,"But while I will be a Democratic candidate, I will be an American president. I will work as hard for those who didn’t support me as I will for those who did."
Biden,"That’s the job of a president. To represent all of us, not just our base or our party. This is not a partisan moment. This must be an American moment."
Biden,"It’s a moment that calls for hope and light and love. Hope for our futures, light to see our way forward, and love for one another."
Biden,America isn’t just a collection of clashing interests of Red States or Blue States.
Biden,We’re so much bigger than that.
Biden,We’re so much better than that.
Biden,"Nearly a century ago, Franklin Roosevelt pledged a New Deal in a time of massive unemployment, uncertainty, and fear."
Biden,"Stricken by disease, stricken by a virus, FDR insisted that he would recover and prevail and he believed America could as well."
Biden,And he did.
Biden,And so can we.
Biden,This campaign isn’t just about winning votes.
Biden,"It’s about winning the heart, and yes, the soul of America."
Biden,"Winning it for the generous among us, not the selfish. Winning it for the workers who keep this country going, not just the privileged few at the top. Winning it for those communities who have known the injustice of the “knee on the neck”. For all the young people who have known only an America of rising inequity and shrinking opportunity."
Biden,They deserve to experience America’s promise in full.
Biden,No generation ever knows what history will ask of it. All we can ever know is whether we’ll be ready when that moment arrives.
Biden,And now history has delivered us to one of the most difficult moments America has ever faced.
Biden,Four historic crises. All at the same time. A perfect storm.
Biden,The worst pandemic in over 100 years. The worst economic crisis since the Great Depression.
Biden,The most compelling call for racial justice since the 60’s. And the undeniable realities and accelerating threats of climate change.
Biden,"So, the question for us is simple: Are we ready?"
Biden,I believe we are.
Biden,We must be.
Biden,All elections are important. But we know in our bones this one is more consequential.
Biden,"America is at an inflection point. A time of real peril, but of extraordinary possibilities."
Biden,"We can choose the path of becoming angrier, less hopeful, and more divided."
Biden,A path of shadow and suspicion.
Biden,"Or we can choose a different path, and together, take this chance to heal, to be reborn, to unite. A path of hope and light."
Biden,This is a life-changing election that will determine America’s future for a very long time.
Biden,"Character is on the ballot. Compassion is on the ballot. Decency, science, democracy."
Biden,They are all on the ballot.
Biden,"Who we are as a nation. What we stand for. And, most importantly, who we want to be."
Biden,That’s all on the ballot.
Biden,And the choice could not be clearer.
Biden,No rhetoric is needed.
Biden,Just judge this president on the facts.
Biden,5 million Americans infected with COVID-19.
Biden,"More than 170,000 Americans have died."
Biden,By far the worst performance of any nation on Earth.
Biden,More than 50 million people have filed for unemployment this year.
Biden,More than 10 million people are going to lose their health insurance this year.
Biden,Nearly one in 6 small businesses have closed this year.
Biden,If this president is re-elected we know what will happen.
Biden,Cases and deaths will remain far too high.
Biden,More mom and pop businesses will close their doors for good.
Biden,"Working families will struggle to get by, and yet, the wealthiest one percent will get tens of billions of dollars in new tax breaks."
Biden,"And the assault on the Affordable Care Act will continue until its destroyed, taking insurance away from more than 20 million people – including more than 15 million people on Medicaid – and getting rid of the protections that President Obama and I passed for people who suffer from a pre-existing condition."
Biden,"And speaking of President Obama, a man I was honored to serve alongside for 8 years as Vice President. Let me take this moment to say something we don’t say nearly enough."
Biden,"Thank you, Mr. President. You were a great president. A president our children could – and did – look up to."
Biden,No one will say that about the current occupant of the office.
Biden,What we know about this president is if he’s given four more years he will be what he’s been the last four years.
Biden,"A president who takes no responsibility, refuses to lead, blames others, cozies up to dictators, and fans the flames of hate and division."
Biden,He will wake up every day believing the job is all about him. Never about you.
Biden,"Is that the America you want for you, your family, your children?"
Biden,I see a different America.
Biden,One that is generous and strong.
Biden,Selfless and humble.
Biden,It’s an America we can rebuild together.
Biden,"As president, the first step I will take will be to get control of the virus that’s ruined so many lives."
Biden,Because I understand something this president doesn’t.
Biden,"We will never get our economy back on track, we will never get our kids safely back to school, we will never have our lives back, until we deal with this virus."
Biden,The tragedy of where we are today is it didn’t have to be this bad.
Biden,Just look around.
Biden,It’s not this bad in Canada. Or Europe. Or Japan. Or almost anywhere else in the world.
Biden,"The President keeps telling us the virus is going to disappear. He keeps waiting for a miracle. Well, I have news for him, no miracle is coming."
Biden,We lead the world in confirmed cases. We lead the world in deaths.
Biden,"Our economy is in tatters, with Black, Latino, Asian American, and Native American communities bearing the brunt of it."
Biden,"And after all this time, the president still does not have a plan."
Biden,"Well, I do."
Biden,If I’m president on day one we’ll implement the national strategy I’ve been laying out since March.
Biden,We’ll develop and deploy rapid tests with results available immediately.
Biden,We’ll make the medical supplies and protective equipment our country needs. And we’ll make them here in America. So we will never again be at the mercy of China and other foreign countries in order to protect our own people.
Biden,"We’ll make sure our schools have the resources they need to be open, safe, and effective."
Biden,"We’ll put the politics aside and take the muzzle off our experts so the public gets the information they need and deserve. The honest, unvarnished truth. They can deal with that."
Biden,"We’ll have a national mandate to wear a mask-not as a burden, but to protect each other."
Biden,It’s a patriotic duty.
Biden,"In short, I will do what we should have done from the very beginning."
Biden,Our current president has failed in his most basic duty to this nation.
Biden,He failed to protect us.
Biden,He failed to protect America.
Biden,"And, my fellow Americans, that is unforgivable."
Biden,"As president, I will make you this promise: I will protect America. I will defend us from every attack. Seen. And unseen. Always. Without exception. Every time."
Biden,"Look, I understand it’s hard to have hope right now."
Biden,"On this summer night, let me take a moment to speak to those of you who have lost the most."
Biden,I know how it feels to lose someone you love. I know that deep black hole that opens up in your chest. That you feel your whole being is sucked into it. I know how mean and cruel and unfair life can be sometimes.
Biden,But I’ve learned two things.
Biden,"First, your loved ones may have left this Earth but they never leave your heart. They will always be with you."
Biden,"And second, I found the best way through pain and loss and grief is to find purpose."
Biden,As God’s children each of us have a purpose in our lives.
Biden,And we have a great purpose as a nation: To open the doors of opportunity to all Americans. To save our democracy. To be a light to the world once again.
Biden,"To finally live up to and make real the words written in the sacred documents that founded this nation that all men and women are created equal. Endowed by their Creator with certain unalienable rights. Among them life, liberty, and the pursuit of happiness."
Biden,"You know, my Dad was an honorable, decent man."
Biden,"He got knocked down a few times pretty hard, but always got up."
Biden,He worked hard and built a great middle-class life for our family.
Biden,"He used to say, “Joey, I don’t expect the government to solve my problems, but I expect it to understand them.”"
Biden,"And then he would say: “Joey, a job is about a lot more than a paycheck. It’s about your dignity. It’s about respect. It’s about your place in your community. It’s about looking your kids in the eye and say, honey, it’s going to be okay.”"
Biden,I’ve never forgotten those lessons.
Biden,"That’s why my economic plan is all about jobs, dignity, respect, and community. Together, we can, and we will, rebuild our economy. And when we do, we’ll not only build it back, we’ll build it back better."
Biden,"With modern roads, bridges, highways, broadband, ports and airports as a new foundation for economic growth. With pipes that transport clean water to every community. With 5 million new manufacturing and technology jobs so the future is made in America."
Biden,"With a health care system that lowers premiums, deductibles, and drug prices by building on the Affordable Care Act he’s trying to rip away."
Biden,"With an education system that trains our people for the best jobs of the 21st century, where cost doesn’t prevent young people from going to college, and student debt doesn’t crush them when they get out."
Biden,"With child care and elder care that make it possible for parents to go to work and for the elderly to stay in their homes with dignity. With an immigration system that powers our economy and reflects our values. With newly empowered labor unions. With equal pay for women. With rising wages you can raise a family on. Yes, we’re going to do more than praise our essential workers. We’re finally going to pay them."
Biden,"We can, and we will, deal with climate change. It’s not only a crisis, it’s an enormous opportunity. An opportunity for America to lead the world in clean energy and create millions of new good-paying jobs in the process."
Biden,"And we can pay for these investments by ending loopholes and the president’s $1.3 trillion tax giveaway to the wealthiest 1 percent and the biggest, most profitable corporations, some of which pay no tax at all."
Biden,Because we don’t need a tax code that rewards wealth more than it rewards work. I’m not looking to punish anyone. Far from it. But it’s long past time the wealthiest people and the biggest corporations in this country paid their fair share.
Biden,"For our seniors, Social Security is a sacred obligation, a sacred promise made. The current president is threatening to break that promise. He’s proposing to eliminate the tax that pays for almost half of Social Security without any way of making up for that lost revenue."
Biden,"I will not let it happen. If I’m your president, we’re going to protect Social Security and Medicare. You have my word."
Biden,One of the most powerful voices we hear in the country today is from our young people. They’re speaking to the inequity and injustice that has grown up in America. Economic injustice. Racial injustice. Environmental injustice.
Biden,"I hear their voices and if you listen, you can hear them too. And whether it’s the existential threat posed by climate change, the daily fear of being gunned down in school, or the inability to get started in their first job — it will be the work of the next president to restore the promise of America to everyone."
Biden,"I won’t have to do it alone. Because I will have a great Vice President at my side. Senator Kamala Harris. She is a powerful voice for this nation. Her story is the American story. She knows about all the obstacles thrown in the way of so many in our country. Women, Black women, Black Americans, South Asian Americans, immigrants, the left-out and left-behind."
Biden,"But she’s overcome every obstacle she’s ever faced. No one’s been tougher on the big banks or the gun lobby. No one’s been tougher in calling out this current administration for its extremism, its failure to follow the law, and its failure to simply tell the truth."
Biden,"Kamala and I both draw strength from our families. For Kamala, it’s Doug and their families."
Biden,"For me, it’s Jill and ours."
Biden,"No man deserves one great love in his life. But I’ve known two. After losing my first wife in a car accident, Jill came into my life and put our family back together."
Biden,"She’s an educator. A mom. A military Mom. And an unstoppable force. If she puts her mind to it, just get out of the way. Because she’s going to get it done. She was a great Second Lady and she will make a great First Lady for this nation, she loves this country so much."
Biden,"And I will have the strength that can only come from family. Hunter, Ashley and all our grandchildren, my brothers, my sister. They give me courage and lift me up."
Biden,"And while he is no longer with us, Beau inspires me every day."
Biden,Beau served our nation in uniform. A decorated Iraq war veteran.
Biden,So I take very personally the profound responsibility of serving as Commander in Chief.
Biden,I will be a president who will stand with our allies and friends. I will make it clear to our adversaries the days of cozying up to dictators are over.
Biden,"Under President Biden, America will not turn a blind eye to Russian bounties on the heads of American soldiers. Nor will I put up with foreign interference in our most sacred democratic exercise – voting."
Biden,"I will stand always for our values of human rights and dignity. And I will work in common purpose for a more secure, peaceful, and prosperous world."
Biden,History has thrust one more urgent task on us. Will we be the generation that finally wipes the stain of racism from our national character?
Biden,I believe we’re up to it.
Biden,I believe we’re ready.
Biden,Just a week ago yesterday was the third anniversary of the events in Charlottesville.
Biden,Remember seeing those neo-Nazis and Klansmen and white supremacists coming out of the fields with lighted torches? Veins bulging? Spewing the same anti-Semitic bile heard across Europe in the ’30s?
Biden,Remember the violent clash that ensued between those spreading hate and those with the courage to stand against it?
Biden,Remember what the president said?
Biden,"There were quote, “very fine people on both sides.”"
Biden,It was a wake-up call for us as a country.
Biden,"And for me, a call to action. At that moment, I knew I’d have to run. My father taught us that silence was complicity. And I could not remain silent or complicit."
Biden,"At the time, I said we were in a battle for the soul of this nation."
Biden,And we are.
Biden,One of the most important conversations I’ve had this entire campaign is with someone who is too young to vote.
Biden,"I met with six-year old Gianna Floyd, a day before her Daddy George Floyd was laid to rest."
Biden,She is incredibly brave.
Biden,I’ll never forget.
Biden,"When I leaned down to speak with her, she looked into my eyes and said “Daddy, changed the world.”"
Biden,Her words burrowed deep into my heart.
Biden,Maybe George Floyd’s murder was the breaking point.
Biden,Maybe John Lewis’ passing the inspiration.
Biden,"However it has come to be, America is ready to in John’s words, to lay down “the heavy burdens of hate at last” and to do the hard work of rooting out our systemic racism."
Biden,"America’s history tells us that it has been in our darkest moments that we’ve made our greatest progress. That we’ve found the light. And in this dark moment, I believe we are poised to make great progress again. That we can find the light once more."
Biden,I have always believed you can define America in one word: Possibilities.
Biden,"That in America, everyone, and I mean everyone, should be given the opportunity to go as far as their dreams and God-given ability will take them."
Biden,"We can never lose that. In times as challenging as these, I believe there is only one way forward. As a united America. United in our pursuit of a more perfect Union. United in our dreams of a better future for us and for our children. United in our determination to make the coming years bright."
Biden,Are we ready?
Biden,I believe we are.
Biden,This is a great nation.
Biden,And we are a good and decent people.
Biden,This is the United States of America.
Biden,And there has never been anything we’ve been unable to accomplish when we’ve done it together.
Biden,The Irish poet Seamus Heaney once wrote:
Biden,"“History says,"
Biden,"Don’t hope on this side of the grave,"
Biden,"But then, once in a lifetime"
Biden,The longed-for tidal wave
Biden,"Of justice can rise up,"
Biden,And hope and history rhyme”
Biden,This is our moment to make hope and history rhyme.
Biden,"With passion and purpose, let us begin – you and I together, one nation, under God – united in our love for America and united in our love for each other."
Biden,For love is more powerful than hate.
Biden,Hope is more powerful than fear.
Biden,Light is more powerful than dark.
Biden,This is our moment.
Biden,This is our mission.
Biden,May history be able to say that the end of this chapter of American darkness began here tonight as love and hope and light joined in the battle for the soul of the nation.
Biden,"And this is a battle that we, together, will win."
Biden,I promise you.
Biden,Thank you.
Biden,And may God bless you.
Biden,And may God protect our troops.
Trump,"Friends, delegates, and distinguished guests: I stand before you tonight honored by your support; proud of the extraordinary progress we have made together over the last four years; and brimming with confidence in the bright future we will build for America over the NEXT four years!"
Trump,"As we begin this evening, our thoughts are with the wonderful people who have just come through the wrath of Hurricane Laura. We are working closely with state and local officials in Texas, Louisiana, Arkansas, and Mississippi, sparing no effort to save lives. While the hurricane was fierce, one of the strongest to make landfall in 150 years, the casualties and damage were far less than thought possible only 24 hours ago. This is due to the great work of FEMA, law enforcement, and the individual states. I will be going this weekend. We are one national family, and we will always protect, love and care for each other."
Trump,"Here tonight are the people who have made my journey possible, and filled my life with so much joy."
Trump,"For her incredible service to our nation and its children, I want to thank our magnificent First Lady. I also want to thank my amazing daughter Ivanka for that introduction, and to all of my children and grandchildren – I love you more than words can express. I know my brother Robert is looking down on us right now from Heaven. He was a great brother and was very proud of the job we are doing. Let us also take a moment to show our profound appreciation for a man who has always fought by our side, and stood up for our values – a man of deep faith and steadfast conviction: Vice President Mike Pence. Mike is joined by his beloved wife, a teacher and military mom, Karen Pence."
Trump,"My fellow Americans, tonight, with a heart full of gratitude and boundless optimism, I proudly accept this nomination for President of the United States."
Trump,"The Republican Party, the party of Abraham Lincoln, goes forward united, determined, and ready to welcome millions of Democrats, Independents, and anyone who believes in the GREATNESS of America and the righteous heart of the American People."
Trump,"In a new term as President, we will again build the greatest economy in history – quickly returning to full employment, soaring incomes, and RECORD prosperity! We will DEFEND AMERICA against all threats, and protect America against all dangers. We will LEAD AMERICA into new frontiers of ambition and discovery, and we will reach for new heights of national achievement. We will rekindle new faith in our values, new pride in our history, and a new spirit of unity that can ONLY be realized through love for our country. Because we understand that America is NOT a land cloaked in darkness, America is the torch that enlightens the entire world."
