COUNTY,Rep24,Dem24,Total24
Anderson,24537,11510,36047
Bedford,15752,4119,19871
Benton,5880,1315,7195
Bledsoe,5254,891,6145
Blount,50646,17642,68288
Bradley,38818,9852,48670
Campbell,13111,2305,15416
Cannon,5682,1132,6814
Carroll,9535,2232,11767
Carter,20165,4454,24619
Cheatham,14977,5459,20436
Chester,6203,1285,7488
Claiborne,11462,1971,13433
Clay,3113,614,3727
Cocke,13068,2414,15482
Coffee,19165,5437,24602
Crockett,4673,1196,5869
Cumberland,27393,6995,34388
Davidson,101899,181364,283263
Decatur,4596,819,5415
DeKalb,7599,1706,9305
Dickson,18997,5912,24909
Dyer,11600,2704,14304
Fayette,16741,6716,23457
Fentress,8543,1147,9690
Franklin,15003,4524,19527
Gibson,16346,5100,21446
Giles,10394,2974,13368
Grainger,9624,1432,11056
Greene,25524,5140,30664
Grundy,5323,948,6271
Hamblen,20130,5127,25257
Hamilton,97051,74349,171400
Hancock,2558,334,2892
Hardeman,5792,3526,9318
Hardin,10283,1703,11986
Hawkins,22044,3986,26030
Haywood,3285,3310,6595
Henderson,10081,1902,11983
Henry,11625,3285,14910
Hickman,8265,1968,10233
Houston,2986,773,3759
Humphreys,6387,1765,8152
Jackson,4577,1038,5615
Jefferson,21041,4499,25540
Johnson,6822,1211,8033
Knox,130134,87287,217421
Lake,1491,429,1920
Lauderdale,5633,2571,8204
Lawrence,16428,2939,19367
Lewis,4835,990,5825
Lincoln,13190,2779,15969
Loudon,25209,7623,32832
Macon,8958,1277,10235
Madison,23385,16114,39499
Marion,10770,3022,13792
Marshall,12414,3389,15803
Maury,37348,14135,51483
McMinn,19649,4202,23851
McNairy,9433,1726,11159
Meigs,5082,968,6050
Monroe,18508,3606,22114
Montgomery,47785,32723,80508
Moore,3060,542,3602
Morgan,7407,1052,8459
Obion,10595,2221,12816
Overton,9035,1929,10964
Perry,3139,558,3697
Pickett,2437,485,2922
Polk,7302,1356,8658
Putnam,25530,8985,34515
Rhea,11958,2308,14266
Roane,20996,6071,27067
Robertson,26260,8428,34688
Rutherford,88748,56600,145348
Scott,8608,942,9550
Sequatchie,6511,1291,7802
Sevier,35189,8316,43505
Shelby,118847,201634,320481
Smith,7645,1594,9239
Stewart,5378,1160,6538
Sullivan,58081,16608,74689
Sumner,68805,27939,96744
Tipton,20302,6176,26478
Trousdale,3358,856,4214
Unicoi,6868,1575,8443
Union,7380,1216,8596
Van Buren,2712,524,3236
Warren,13185,3646,16831
Washington,42242,18099,60341
Wayne,6016,762,6778
Weakley,10528,2719,13247
White,10698,2102,12800
Williamson,94539,47676,142215
Wilson,56338,23804,80142
