Precinct,Voters,Pct_Nonwhite,Pct_Harris,Pct_Trump,Pct_Other,Winner
1-1,3755,15,34.8,63.8,1.5,Trump
1-2,1190,12,39.4,58.7,1.9,Trump
1-3,1244,54,66.6,31.7,1.7,Harris
1-4,2228,73,82.2,16,1.7,Harris
1-5,3477,69,88.4,9.4,2.2,Harris
1-6,643,87,86.4,11.6,1.9,Harris
1-7,4307,87,89.2,9.1,1.7,Harris
10-1,1366,21,29.3,67.9,2.7,Trump
10-2,675,12,29.8,67.7,2.5,Trump
10-3,1378,19,36.1,62.2,1.7,Trump
10-4,7497,40,53.4,44.8,1.9,Harris
10-5,1776,57.99999999999999,69.6,28.4,2,Harris
10-6,1786,44,57.9,40.2,2,Harris
10-7,519,69,61.7,34.6,3.8,Harris
10-8,1616,63,73.8,23.1,3,Harris
10-9,716,10,24.7,73,2.2,Trump
11-1,4654,22,56.9,40.9,2.2,Harris
11-2,1936,19,44.9,54.5,0.6,Trump
11-3,3844,26,44.6,54.3,1.1,Trump
11-4,5443,32,53.7,44.2,2.1,Harris
12-1,4364,37,54.6,43.2,2.2,Harris
12-2,5510,50,66.4,31.6,1.9,Harris
12-3,5092,26,48.6,49.7,1.7,Trump
12-4,578,20,34.4,63.3,2.3,Trump
13-1,7366,68,67.9,29,3.1,Harris
13-2,1899,50,62.8,34.8,2.4,Harris
13-3,2142,39,56.9,41.1,2,Harris
13-4,307,47,66.7,28.7,4.7,Harris
13-5,4887,34,59.8,38.1,2.1,Harris
14-1,2452,32,54,43.9,2.1,Harris
14-2,2152,26,51.9,46.3,1.8,Harris
14-3,4460,28.000000000000004,51.2,47.2,1.6,Harris
14-4,5285,37,58.4,39.7,1.9,Harris
14-5,1836,35,60.9,37.5,1.6,Harris
15-1,4588,22,54.2,43.8,2,Harris
15-2,411,54,67.9,30.7,1.4,Harris
15-3,2547,17,57.1,41.3,1.7,Harris
15-4,3549,37,58.4,39.8,1.8,Harris
15-5,3768,26,60.3,37.9,1.8,Harris
15-6,2458,30,53,44.8,2.3,Harris
16-1,4408,49,62.9,34.1,3,Harris
16-2,7096,39,63.8,33.7,2.4,Harris
16-3,2946,50,63.1,34.2,2.7,Harris
16-4,1392,56.99999999999999,55,42.4,2.7,Harris
17-1,3430,26,56,42.4,1.5,Harris
17-2,1717,36,70.4,26.5,3.1,Harris
17-3,1209,91,91.8,6.2,2,Harris
17-4,1211,59,68.3,29.5,2.3,Harris
17-5,1822,34,62.2,35.7,2,Harris
17-6,1682,91,83.8,14,2.2,Harris
17-7,3820,24,71.2,26.3,2.5,Harris
17-8,2297,40,67.5,30.6,1.9,Harris
18-1,8443,40,77.4,20.5,2.2,Harris
18-2,5434,20,71.2,26.9,1.9,Harris
18-3,5696,16,76.6,21.7,1.7,Harris
19-1,516,60,48.5,50.3,1.1,Trump
19-2,3894,21,63.2,35.2,1.6,Harris
19-3,2852,63,75,23,2,Harris
19-4,5918,28.000000000000004,52.4,46.1,1.5,Harris
19-5,6589,22,50.2,48.3,1.5,Harris
2-1,1627,71,86.5,12.3,1.2,Harris
2-2,2532,89,88.6,9.3,2.1,Harris
2-3,2853,79,77.6,20.8,1.7,Harris
2-4,3362,68,75.5,22.8,1.7,Harris
2-5,4841,88,88.5,9.7,1.8,Harris
20-1,1775,60,50.7,48,1.4,Harris
20-2,4257,18,57.4,40.5,2.1,Harris
20-3,7059,30,54.4,43.5,2,Harris
20-4,230,11,57,42.4,0.6,Harris
20-5,4389,41,62.4,35.8,1.8,Harris
21-1,3018,28.999999999999996,63.2,34.2,2.6,Harris
21-2,4436,73,75.9,21.6,2.4,Harris
21-3,4599,78,76.6,21,2.5,Harris
21-4,5366,73,84.8,13.1,2.1,Harris
22-1,3915,22,52.4,45.9,1.7,Harris
22-2,5643,27,54.6,42.6,2.9,Harris
22-3,2045,16,58,39.8,2.2,Harris
22-4,4695,20,55.9,42.6,1.5,Harris
23-1,2221,4,41.1,56.9,2,Trump
23-2,3569,9,50.3,47.3,2.4,Harris
23-3,4114,25,62,36,2,Harris
23-4,5794,18,57.2,41.2,1.6,Harris
23-5,536,8,62.7,35.8,1.5,Harris
24-1,73,44,72.9,27.1,0,Harris
24-2,2014,11,63.1,35.8,1.1,Harris
24-3,1998,27,66.1,31.4,2.5,Harris
24-4,3270,14.000000000000002,69.9,28,2.1,Harris
24-5,5070,12,68.6,29.5,1.9,Harris
24-6,4250,12,62.1,36.7,1.1,Harris
25-1,589,8,56,40.8,3.1,Harris
25-2,3086,7.000000000000001,49.3,48.7,2,Harris
25-3,4229,11,56.8,41.4,1.9,Harris
25-4,4322,15,67.1,30.8,2.1,Harris
25-5,3778,16,58.7,39.1,2.1,Harris
26-1,2035,18,60.5,37.8,1.7,Harris
26-2,5283,15,48.3,49.8,2,Trump
26-3,3191,20,52.1,45.4,2.5,Harris
26-4,6060,42,55.9,41.7,2.3,Harris
27-1,3508,65,59.1,37.9,3,Harris
27-3,6945,49,55.9,41.6,2.6,Harris
27-4,4369,56.00000000000001,58.3,39.2,2.5,Harris
28-1,82,67,58.3,41.7,0,Harris
28-2,2293,59,57.8,40.6,1.6,Harris
28-3,6025,74,63.8,34.3,1.9,Harris
28-4,2149,73,75.5,23,1.5,Harris
28-5,4634,64,70.7,27.7,1.6,Harris
29-1,2708,56.00000000000001,73.4,25.4,1.2,Harris
29-2,5240,72,76.6,22.4,1,Harris
29-3,2938,56.00000000000001,68.6,29.5,1.9,Harris
29-4,5156,52,65.2,33.2,1.6,Harris
3-1,56,61,0,100,0,Trump
3-2,4089,66,76.9,21.5,1.6,Harris
3-3,613,52,44.5,52.6,2.9,Trump
3-4,1703,34,65,32.5,2.5,Harris
3-5,1378,47,65.3,32.4,2.4,Harris
3-6,846,43,64.8,32.1,3.1,Harris
3-7,2952,55.00000000000001,71.7,26.8,1.6,Harris
3-8,4862,90,89.6,9,1.4,Harris
30-1,5467,72,59,38,3,Harris
30-2,4575,75,65.7,32,2.3,Harris
30-3,4405,64,64.9,32.1,3,Harris
31-1,562,71,66.9,30.2,2.9,Harris
31-2,5453,34,57.9,39.8,2.3,Harris
31-3,3967,33,51,46.6,2.4,Harris
31-4,5053,57.99999999999999,64.6,33.1,2.3,Harris
32-1,787,69,79,19.9,1.1,Harris
32-2,2008,77,78.8,19.6,1.6,Harris
32-3,5565,69,75.5,22.8,1.7,Harris
32-4,6404,73,76.7,20.5,2.8,Harris
33-1,3422,27,48.6,49.8,1.7,Trump
33-2,3151,61,67.3,30.9,1.8,Harris
33-3,121,64,47.9,50,2.1,Trump
33-4,5068,74,71.4,26.4,2.2,Harris
33-5,1509,66,71.9,25.9,2.2,Harris
33-6,2865,70,58.4,38.5,3.1,Harris
34-1,3805,7.000000000000001,47.8,50.6,1.7,Trump
34-2,1926,9,41.6,56.2,2.2,Trump
34-3,2853,26,62.8,34.9,2.2,Harris
34-4,3297,12,57.2,41.5,1.3,Harris
34-5,3523,9,55.6,42.9,1.5,Harris
34-6,79,1,58.5,40.8,0.7,Harris
35-1,676,11,32.7,65.6,1.8,Trump
35-2,4438,15,48.9,49,2.1,Trump
35-3,3792,19,55.6,42.1,2.3,Harris
35-4,1330,31,56.3,42.3,1.4,Harris
35-5,5242,21,49.6,47.6,2.8,Harris
4-1,6165,37,58.9,39,2.2,Harris
4-2,6011,27,48.8,48.3,2.8,Harris
4-3,3672,21,46.2,51.3,2.5,Trump
5-1,1113,67,77.2,21.8,1,Harris
5-2,95,38,78,20,2,Harris
5-3,966,60,75.9,19.5,4.6,Harris
5-4,3600,56.99999999999999,78.2,18.8,3,Harris
5-5,1659,72,87.8,10.2,1.9,Harris
