"Game","Team","FGP"
1,"Team A",0.334
2,"Team A",0.401
3,"Team A",0.456
4,"Team A",0.315
5,"Team A",0.45
6,"Team A",0.433
7,"Team A",0.439
8,"Team A",0.542
9,"Team A",0.308
10,"Team A",0.557
11,"Team A",0.356
12,"Team A",0.317
13,"Team A",0.358
14,"Team A",0.455
15,"Team A",0.445
16,"Team A",0.399
17,"Team A",0.335
18,"Team A",0.365
19,"Team A",0.552
20,"Team A",0.45
21,"Team A",0.372
22,"Team A",0.336
23,"Team A",0.41
24,"Team A",0.263
25,"Team A",0.382
26,"Team A",0.356
27,"Team A",0.546
28,"Team A",0.531
29,"Team A",0.423
30,"Team A",0.316
31,"Team A",0.52
32,"Team A",0.515
33,"Team A",0.503
34,"Team A",0.504
35,"Team A",0.395
1,"Team B",0.384
2,"Team B",0.451
3,"Team B",0.506
4,"Team B",0.365
5,"Team B",0.5
6,"Team B",0.483
7,"Team B",0.489
8,"Team B",0.592
9,"Team B",0.358
10,"Team B",0.607
11,"Team B",0.406
12,"Team B",0.367
13,"Team B",0.408
14,"Team B",0.505
15,"Team B",0.495
16,"Team B",0.449
17,"Team B",0.385
18,"Team B",0.415
19,"Team B",0.602
20,"Team B",0.5
21,"Team B",0.422
22,"Team B",0.386
23,"Team B",0.46
24,"Team B",0.313
25,"Team B",0.432
26,"Team B",0.406
27,"Team B",0.596
28,"Team B",0.581
29,"Team B",0.473
30,"Team B",0.366
31,"Team B",0.57
32,"Team B",0.565
33,"Team B",0.553
34,"Team B",0.554
35,"Team B",0.445
