"Game","FGPLastSeason","FGPThisSeason"
1,0.334,0.551
2,0.401,0.61
3,0.456,0.484
4,0.315,0.382
5,0.45,0.559
6,0.433,0.559
7,0.439,0.449
8,0.542,0.65
9,0.308,0.401
10,0.557,0.515
11,0.356,0.253
12,0.317,0.464
13,0.358,0.593
14,0.455,0.434
15,0.445,0.39
16,0.399,0.553
17,0.335,0.399
18,0.365,0.507
19,0.552,0.306
20,0.45,0.339
21,0.372,0.435
22,0.336,0.376
23,0.41,0.616
24,0.263,0.572
25,0.382,0.401
26,0.356,0.537
27,0.546,0.572
28,0.531,0.506
29,0.423,0.515
30,0.316,0.597
31,0.52,0.432
32,0.515,0.438
33,0.503,0.576
34,0.504,0.351
35,0.395,0.499
