"Post","Date","Url","Author","Full.Text"
"Target promo","2024-04-29 14:05:33.0","http://twitter.com/korikillette/statuses/1784947130148295042","korikillette","@taylorswift13 @Target Eat The Rich... start here.. She endorses Biden because his Admin has promised she will be left of the menu... The dems love this everyone must pay their fair share.. unless your on the Team... Taylor is on the Team and its all about $$ not her Simps or Fans.. Reseasrch"
"Target promo","2024-04-29 13:41:55.0","http://twitter.com/MM52358/statuses/1784941185963806891","MM52358","@taylorswift13 @Target Some songs sound like a Spurned woman You cant force smeone to love you There was a guy who liked me he would show up at tr lites when Iwent for walks,came by told him I wsnt home & Ive liked guys who ddnt like me Yrs later I was thankful one didnt like me bc I found out things"
"Target promo","2024-04-28 19:47:54.0","http://twitter.com/Katheri88030256/statuses/1784670898215067802","Katheri88030256","@taylorswift13 @Target Pps.. Please don't play So Long London in London.. ITS NOT LONDONS FAULT! #sadsong #TTPD @taylorswift13 🤍😭"
"Target promo","2024-04-26 22:29:13.0","http://twitter.com/jayybird_22/statuses/1783986721497002466","jayybird_22","Ever since someone on TikTok said that this is the ghost of her lover sitting with her rather than just light coming in I can’t unsee it. Plus the record comes in “ghost white or phantom clear”. And there’s a lyric that says “my beloved ghost & me sitting in a tree D-Y-I-N-G” 🤯"
"Target promo","2024-04-25 23:23:49.0","http://twitter.com/ForbesLTM/statuses/1783638073340780900","ForbesLTM","@taylorswift13 @Target Careless Whisper - George Michael Acoustic Guitar Cover https://t.co/9muNoQesSq"
"Target promo","2024-04-25 00:01:53.0","http://twitter.com/daphnetorio/statuses/1783285264703443420","daphnetorio","@taylorswift13 @Target I knew this was gonna destroy me"
"Target promo","2024-04-22 12:45:08.0","http://twitter.com/TheGagerRager/statuses/1782390180084638140","TheGagerRager","@taylorswift13 @Target One eye symbolism. Wake up sheeple, she's a witch/Satanist. Can't believe this many people aren't self-aware."
"Target promo","2024-04-22 02:58:13.0","http://twitter.com/Daniel67525844/statuses/1782242475295273364","Daniel67525844","@taylorswift13 @Target #SpellborneCreate $PARAM $BUBBLE $TRIP $PIXIZ $RCADE $MON"
"Target promo","2024-04-22 02:48:35.0","http://twitter.com/Daniel67525844/statuses/1782240053042847866","Daniel67525844","@taylorswift13 @Target I am currently providing liquidity on Curve for @MetaStreetXYZ $LCT and earning XP each day! Join my crew to start earning XP double-digit yields! https://t.co/78sDWy8njU"
"Target promo","2024-04-22 01:11:10.0","http://twitter.com/FGDawn/statuses/1782215538371878974","FGDawn","To me this reads like holding ur stomach when ur pregnant 🤰...."
"Target promo","2024-04-20 16:35:12.0","http://twitter.com/noahfosterboy20/statuses/1781723300231819311","noahfosterboy20","@taylorswift13 @Target Hi taylor Swift I a fan I love your song"
"Target promo","2024-04-20 00:32:31.0","http://twitter.com/cocomo5258210/statuses/1781481033147318539","cocomo5258210","@taylorswift13 @Target Follow For Follow Back"
"Target promo","2024-04-20 00:23:19.0","http://twitter.com/cats_meow_17/statuses/1781478720521318688","cats_meow_17","@taylorswift13 copy acquired so excited to be extremely careful and barely open it 🤍🩶🖤 https://t.co/Y4VRDvI1sU"
"Target promo","2024-04-20 00:20:06.0","http://twitter.com/SamSaav16/statuses/1781477907522851201","SamSaav16","@taylorswift13 @Target This lyric was so heartbreakingly relatable :("
"Target promo","2024-04-19 13:11:21.0","http://twitter.com/MouseBlack2/statuses/1781309614296068387","MouseBlack2","@taylorswift13 @Target Cat Mice & Animals Toys by OurPet's :https://t.co/KpvW4PZehi"
"Target promo","2024-04-19 11:09:27.0","http://twitter.com/Icegelsymposium/statuses/1781278935436988624","Icegelsymposium","@taylorswift13 @Target I want to buy that Album 😍😍😍🤍🤍🤍✌🏻"
