Date,Series,Value
2024-07-01,Article Count,369
2024-07-01,Total Monitored Articles,160604
2024-07-02,Article Count,404
2024-07-02,Total Monitored Articles,179768
2024-07-03,Article Count,720
2024-07-03,Total Monitored Articles,177855
2024-07-04,Article Count,563
2024-07-04,Total Monitored Articles,193278
2024-07-05,Article Count,774
2024-07-05,Total Monitored Articles,199750
2024-07-06,Article Count,424
2024-07-06,Total Monitored Articles,157083
2024-07-07,Article Count,393
2024-07-07,Total Monitored Articles,130927
2024-07-08,Article Count,414
2024-07-08,Total Monitored Articles,147898
2024-07-09,Article Count,409
2024-07-09,Total Monitored Articles,152804
2024-07-10,Article Count,549
2024-07-10,Total Monitored Articles,215933
2024-07-11,Article Count,512
2024-07-11,Total Monitored Articles,205430
2024-07-12,Article Count,1257
2024-07-12,Total Monitored Articles,198313
2024-07-13,Article Count,356
2024-07-13,Total Monitored Articles,132717
2024-07-14,Article Count,916
2024-07-14,Total Monitored Articles,140079
2024-07-15,Article Count,700
2024-07-15,Total Monitored Articles,191877
2024-07-16,Article Count,476
2024-07-16,Total Monitored Articles,182588
2024-07-17,Article Count,791
2024-07-17,Total Monitored Articles,184270
2024-07-18,Article Count,849
2024-07-18,Total Monitored Articles,182116
2024-07-19,Article Count,999
2024-07-19,Total Monitored Articles,184219
2024-07-20,Article Count,664
2024-07-20,Total Monitored Articles,164644
2024-07-21,Article Count,4523
2024-07-21,Total Monitored Articles,150044
2024-07-22,Article Count,3020
2024-07-22,Total Monitored Articles,89543
2024-07-23,Article Count,4485
2024-07-23,Total Monitored Articles,190208
2024-07-24,Article Count,2830
2024-07-24,Total Monitored Articles,173006
2024-07-25,Article Count,2086
2024-07-25,Total Monitored Articles,144518
2024-07-26,Article Count,2349
2024-07-26,Total Monitored Articles,165640
2024-07-27,Article Count,1334
2024-07-27,Total Monitored Articles,122465
2024-07-28,Article Count,813
2024-07-28,Total Monitored Articles,95008
2024-07-29,Article Count,1600
2024-07-29,Total Monitored Articles,162348
2024-07-30,Article Count,2305
2024-07-30,Total Monitored Articles,190973
2024-07-31,Article Count,2552
2024-07-31,Total Monitored Articles,198619
2024-08-01,Article Count,2558
2024-08-01,Total Monitored Articles,189920
2024-08-02,Article Count,2234
2024-08-02,Total Monitored Articles,178894
2024-08-03,Article Count,1714
2024-08-03,Total Monitored Articles,140406
2024-08-04,Article Count,1046
2024-08-04,Total Monitored Articles,110426
2024-08-05,Article Count,704
2024-08-05,Total Monitored Articles,79248
2024-08-06,Article Count,2148
2024-08-06,Total Monitored Articles,149617
2024-08-07,Article Count,2360
2024-08-07,Total Monitored Articles,170721
2024-08-08,Article Count,2198
2024-08-08,Total Monitored Articles,165274
2024-08-09,Article Count,1629
2024-08-09,Total Monitored Articles,166906
2024-08-10,Article Count,1155
2024-08-10,Total Monitored Articles,118279
2024-08-11,Article Count,1015
2024-08-11,Total Monitored Articles,89140
2024-08-12,Article Count,1040
2024-08-12,Total Monitored Articles,136137
2024-08-13,Article Count,2259
2024-08-13,Total Monitored Articles,185310
2024-08-14,Article Count,2490
2024-08-14,Total Monitored Articles,199813
2024-08-15,Article Count,2305
2024-08-15,Total Monitored Articles,179147
2024-08-16,Article Count,1502
2024-08-16,Total Monitored Articles,128548
2024-08-17,Article Count,1550
2024-08-17,Total Monitored Articles,138475
2024-08-18,Article Count,1655
2024-08-18,Total Monitored Articles,136961
2024-08-19,Article Count,2295
2024-08-19,Total Monitored Articles,160250
2024-08-20,Article Count,2212
2024-08-20,Total Monitored Articles,104431
2024-08-21,Article Count,4435
2024-08-21,Total Monitored Articles,194803
2024-08-22,Article Count,4432
2024-08-22,Total Monitored Articles,197770
2024-08-23,Article Count,4404
2024-08-23,Total Monitored Articles,157712
2024-08-24,Article Count,1585
2024-08-24,Total Monitored Articles,156573
2024-08-25,Article Count,1368
2024-08-25,Total Monitored Articles,129669
2024-08-26,Article Count,1656
2024-08-26,Total Monitored Articles,167063
2024-08-27,Article Count,1893
2024-08-27,Total Monitored Articles,198998
2024-08-28,Article Count,1887
2024-08-28,Total Monitored Articles,178875
2024-08-29,Article Count,1874
2024-08-29,Total Monitored Articles,186736
2024-08-30,Article Count,2685
2024-08-30,Total Monitored Articles,179304
2024-08-31,Article Count,837
2024-08-31,Total Monitored Articles,111009
2024-09-01,Article Count,990
2024-09-01,Total Monitored Articles,116407
2024-09-02,Article Count,1187
2024-09-02,Total Monitored Articles,209420
2024-09-03,Article Count,1670
2024-09-03,Total Monitored Articles,206592
2024-09-04,Article Count,1891
2024-09-04,Total Monitored Articles,199483
2024-09-05,Article Count,1973
2024-09-05,Total Monitored Articles,180598
2024-09-06,Article Count,1935
2024-09-06,Total Monitored Articles,190187
2024-09-07,Article Count,1125
2024-09-07,Total Monitored Articles,125417
2024-09-08,Article Count,1075
2024-09-08,Total Monitored Articles,130729
2024-09-09,Article Count,1526
2024-09-09,Total Monitored Articles,163112
2024-09-10,Article Count,2878
2024-09-10,Total Monitored Articles,238194
2024-09-11,Article Count,5832
2024-09-11,Total Monitored Articles,179121
2024-09-12,Article Count,2229
2024-09-12,Total Monitored Articles,168826
2024-09-13,Article Count,2446
2024-09-13,Total Monitored Articles,205431
