Name,State,District,Dem,Rep,Unallocated
"Carl, Jerry",Alabama,1,0,0,1
"Moore, Barry",Alabama,2,0,0,1
"Rogers, Mike",Alabama,3,0,0,1
"Aderholt, Robert",Alabama,4,0,0,1
"Strong, Dale",Alabama,5,0,0,1
"Palmer, Gary",Alabama,6,0,0,1
"Sewell, Terri",Alabama,7,0,0,1
"Peltola, Mary",Alaska,0,0,0,1
"Schweikert, David",Arizona,1,0,0,1
"Crane, Elijah",Arizona,2,0,0,1
"Gallego, Ruben",Arizona,3,0,0,1
"Stanton, Greg",Arizona,4,0,0,1
"Biggs, Andy",Arizona,5,0,0,1
"Ciscomani, Juan",Arizona,6,0,0,1
"Grijalva, Raul",Arizona,7,0,0,1
"Lesko, Debbie",Arizona,8,0,0,1
"Gosar, Paul",Arizona,9,0,0,1
"Crawford, Eric",Arkansas,1,0,0,1
"Hill, J.",Arkansas,2,0,0,1
"Womack, Steve",Arkansas,3,0,0,1
"Westerman, Bruce",Arkansas,4,0,0,1
"LaMalfa, Doug",California,1,0,0,1
"Huffman, Jared",California,2,0,0,1
"Kiley, Kevin",California,3,0,0,1
"Thompson, Mike",California,4,0,0,1
"McClintock, Tom",California,5,0,0,1
"Bera, Ami",California,6,0,0,1
"Matsui, Doris",California,7,0,0,1
"Garamendi, John",California,8,0,0,1
"Harder, Josh",California,9,0,0,1
"DeSaulnier, Mark",California,10,0,0,1
"Pelosi, Nancy",California,11,0,0,1
"Lee, Barbara",California,12,0,0,1
"Duarte, John",California,13,0,0,1
"Swalwell, Eric",California,14,0,0,1
"Mullin, Kevin",California,15,0,0,1
"Eshoo, Anna",California,16,0,0,1
"Khanna, Ro",California,17,0,0,1
"Lofgren, Zoe",California,18,0,0,1
"Panetta, Jimmy",California,19,0,0,1
"Fong, Vince",California,20,0,0,1
"Costa, Jim",California,21,0,0,1
"Valadao, David",California,22,0,0,1
"Obernolte, Jay",California,23,0,0,1
"Carbajal, Salud",California,24,0,0,1
"Ruiz, Raul",California,25,0,0,1
"Brownley, Julia",California,26,0,0,1
"Garcia, Mike",California,27,0,0,1
"Chu, Judy",California,28,0,0,1
"Cardenas, Tony",California,29,0,0,1
"Schiff, Adam",California,30,0,0,1
"Napolitano, Grace",California,31,0,0,1
"Sherman, Brad",California,32,0,0,1
"Aguilar, Pete",California,33,0,0,1
"Gomez, Jimmy",California,34,0,0,1
"Torres, Norma",California,35,0,0,1
"Lieu, Ted",California,36,0,0,1
"Kamlager-Dove, Sydney",California,37,0,0,1
