"Completion","Player","Position","Completion_yards"
1,"Jones","QB",9.85
2,"Jones","QB",11.86
3,"Jones","QB",13.52
4,"Jones","QB",9.28
5,"Jones","QB",13.33
6,"Jones","QB",12.83
7,"Jones","QB",13
8,"Jones","QB",16.09
9,"Jones","QB",9.08
10,"Jones","QB",16.54
11,"Jones","QB",10.51
12,"Jones","QB",9.35
13,"Jones","QB",10.59
14,"Jones","QB",13.5
15,"Jones","QB",13.2
16,"Jones","QB",11.82
17,"Jones","QB",9.88
18,"Jones","QB",10.8
19,"Jones","QB",16.41
20,"Jones","QB",13.34
21,"Jones","QB",11
22,"Jones","QB",9.91
23,"Jones","QB",12.13
24,"Jones","QB",7.74
25,"Jones","QB",11.29
26,"Jones","QB",10.52
27,"Jones","QB",16.22
28,"Jones","QB",15.78
29,"Jones","QB",12.52
30,"Jones","QB",9.33
31,"Jones","QB",15.44
32,"Jones","QB",15.3
33,"Jones","QB",14.92
34,"Jones","QB",14.95
35,"Jones","QB",11.68
36,"Jones","QB",14.86
37,"Jones","QB",16.64
38,"Jones","QB",12.85
39,"Jones","QB",9.8
40,"Jones","QB",15.12
41,"Jones","QB",15.1
42,"Jones","QB",11.81
43,"Jones","QB",17.84
44,"Jones","QB",10.36
45,"Jones","QB",13.79
46,"Jones","QB",5.94
47,"Jones","QB",12.25
48,"Jones","QB",16.13
49,"Jones","QB",11.37
50,"Jones","QB",10.04
51,"Jones","QB",14.92
52,"Jones","QB",10.31
53,"Jones","QB",13.54
54,"Jones","QB",7.53
55,"Jones","QB",8.51
56,"Jones","QB",11.38
57,"Jones","QB",9.63
58,"Jones","QB",16.83
59,"Jones","QB",15.49
60,"Jones","QB",10.38
61,"Jones","QB",14.46
62,"Jones","QB",15.49
