"Player","Position","Pass_number","Pass_outcome"
"Jones","QB",1,"Complete"
"Jones","QB",2,"Incomplete"
"Jones","QB",3,"Complete"
"Jones","QB",4,"Incomplete"
"Jones","QB",5,"Complete"
"Jones","QB",6,"Complete"
"Jones","QB",7,"Complete"
"Jones","QB",8,"Incomplete"
"Jones","QB",9,"Incomplete"
"Jones","QB",10,"Complete"
"Jones","QB",11,"Complete"
"Jones","QB",12,"Complete"
"Jones","QB",13,"Complete"
"Jones","QB",14,"Complete"
"Jones","QB",15,"Incomplete"
"Jones","QB",16,"Incomplete"
"Jones","QB",17,"Incomplete"
"Jones","QB",18,"Complete"
"Jones","QB",19,"Complete"
"Jones","QB",20,"Complete"
"Jones","QB",21,"Complete"
"Jones","QB",22,"Complete"
"Jones","QB",23,"Complete"
"Jones","QB",24,"Complete"
"Jones","QB",25,"Complete"
"Jones","QB",26,"Complete"
"Jones","QB",27,"Incomplete"
"Jones","QB",28,"Complete"
"Jones","QB",29,"Complete"
"Jones","QB",30,"Complete"
"Jones","QB",31,"Complete"
"Jones","QB",32,"Incomplete"
"Jones","QB",33,"Complete"
"Jones","QB",34,"Complete"
"Jones","QB",35,"Complete"
"Jones","QB",36,"Complete"
"Jones","QB",37,"Incomplete"
"Jones","QB",38,"Complete"
"Jones","QB",39,"Incomplete"
"Jones","QB",40,"Incomplete"
"Jones","QB",41,"Incomplete"
"Jones","QB",42,"Complete"
"Jones","QB",43,"Complete"
"Jones","QB",44,"Complete"
"Jones","QB",45,"Complete"
"Jones","QB",46,"Complete"
"Jones","QB",47,"Complete"
"Jones","QB",48,"Incomplete"
"Jones","QB",49,"Complete"
"Jones","QB",50,"Incomplete"
"Jones","QB",51,"Complete"
"Jones","QB",52,"Incomplete"
"Jones","QB",53,"Complete"
"Jones","QB",54,"Incomplete"
"Jones","QB",55,"Complete"
"Jones","QB",56,"Complete"
"Jones","QB",57,"Complete"
"Jones","QB",58,"Complete"
"Jones","QB",59,"Incomplete"
"Jones","QB",60,"Complete"
"Jones","QB",61,"Incomplete"
"Jones","QB",62,"Complete"
"Jones","QB",63,"Complete"
"Jones","QB",64,"Complete"
"Jones","QB",65,"Incomplete"
"Jones","QB",66,"Complete"
"Jones","QB",67,"Incomplete"
"Jones","QB",68,"Incomplete"
"Jones","QB",69,"Incomplete"
"Jones","QB",70,"Complete"
"Jones","QB",71,"Incomplete"
"Jones","QB",72,"Complete"
"Jones","QB",73,"Complete"
"Jones","QB",74,"Complete"
"Jones","QB",75,"Incomplete"
"Jones","QB",76,"Complete"
"Jones","QB",77,"Incomplete"
"Jones","QB",78,"Complete"
"Jones","QB",79,"Incomplete"
"Jones","QB",80,"Complete"
"Jones","QB",81,"Complete"
"Jones","QB",82,"Complete"
"Jones","QB",83,"Incomplete"
"Jones","QB",84,"Complete"
"Jones","QB",85,"Complete"
"Jones","QB",86,"Incomplete"
"Jones","QB",87,"Complete"
"Jones","QB",88,"Complete"
"Jones","QB",89,"Incomplete"
"Jones","QB",90,"Complete"
"Jones","QB",91,"Incomplete"
"Jones","QB",92,"Incomplete"
"Jones","QB",93,"Incomplete"
"Jones","QB",94,"Complete"
"Jones","QB",95,"Incomplete"
"Jones","QB",96,"Complete"
"Jones","QB",97,"Complete"
"Jones","QB",98,"Incomplete"
"Jones","QB",99,"Incomplete"
"Jones","QB",100,"Incomplete"
"Jones","QB",101,"Complete"
"Jones","QB",102,"Complete"
"Jones","QB",103,"Complete"
"Jones","QB",104,"Incomplete"
"Jones","QB",105,"Incomplete"
"Jones","QB",106,"Complete"
"Jones","QB",107,"Complete"
"Jones","QB",108,"Complete"
"Jones","QB",109,"Incomplete"
"Jones","QB",110,"Incomplete"
"Jones","QB",111,"Complete"
"Jones","QB",112,"Complete"
"Jones","QB",113,"Incomplete"
"Jones","QB",114,"Incomplete"
"Jones","QB",115,"Complete"
