County,Outlets,Type
Fentress County,0,News desert
Houston County,0,News desert
Jackson County,0,News desert
Marshall County,0,News desert
Van Buren County,0,News desert
Bedford County,1,Monopoly
Cannon County,1,Monopoly
Cheatham County,1,Monopoly
DeKalb County,1,Monopoly
Franklin County,1,Monopoly
Grundy County,1,Monopoly
Hickman County,1,Monopoly
Humphreys County,1,Monopoly
Lewis County,1,Monopoly
Lincoln County,1,Monopoly
Macon County,1,Monopoly
Montgomery County,1,Monopoly
Moore County,1,Monopoly
Perry County,1,Monopoly
Pickett County,1,Monopoly
Putnam County,1,Monopoly
Robertson County,1,Monopoly
Sequatchie County,1,Monopoly
Smith County,1,Monopoly
Stewart County,1,Monopoly
Trousdale County,1,Monopoly
Warren County,1,Monopoly
Wayne County,1,Monopoly
White County,1,Monopoly
Clay County,2,Duopoly
Coffee County,2,Duopoly
Dickson County,2,Duopoly
Giles County,2,Duopoly
Lawrence County,2,Duopoly
Maury County,2,Duopoly
Overton County,2,Duopoly
Rutherford County,2,Duopoly
Sumner County,4,Three-plus
Wilson County,4,Three-plus
Williamson County,6,Three-plus
Davidson County,11,Three-plus
