Group,Value
Sims,5.9
Cooking game,6.5
Minecraft,15.9
Sims,3.9
Minecraft,24.6
Minecraft,20.1
Cooking game,5.8
Minecraft,16.3
Cooking game,6.5
Minecraft,16.6
Minecraft,21.9
Cooking game,8.1
Minecraft,16.1
Minecraft,18.9
Sims,7.8
Minecraft,18.3
Minecraft,17.9
Cooking game,8.3
Sims,4.8
Sims,2.6
Sims,6.7
Minecraft,18.3
Cooking game,7.8
Sims,7.1
Cooking game,9.6
Cooking game,5.6
Minecraft,18.5
Minecraft,19.7
Cooking game,11.9
Sims,5.3
Sims,7.2
Minecraft,19.5
Minecraft,24.5
Sims,4.2
Cooking game,9.8
Sims,5.7
Sims,9.3
Cooking game,6.6
Cooking game,7.4
Minecraft,20.6
Minecraft,18.9
Minecraft,18
Sims,7.3
Cooking game,6.7
Sims,4.2
Minecraft,23.2
Minecraft,15.4
Minecraft,16
Cooking game,5.4
Sims,6.6
Cooking game,6.2
Sims,2.1
Minecraft,21.5
Sims,4.2
Cooking game,6.8
Minecraft,17
Cooking game,6.7
Minecraft,20.2
Sims,3.1
Sims,4.9
Minecraft,19
Sims,6
Sims,8.4
Minecraft,23.9
Minecraft,24.8
Sims,4
Cooking game,11.7
Cooking game,8.4
Cooking game,9.1
Sims,3
Minecraft,17.8
Cooking game,11.2
Cooking game,10.3
Minecraft,17.8
Sims,3.4
Sims,4.6
Cooking game,8.9
Sims,3.7
Sims,4.8
Cooking game,5.3
Cooking game,7.3
Cooking game,8.9
Cooking game,11.8
Minecraft,18.4
Sims,5.1
Cooking game,7.4
Minecraft,22.1
Sims,4.3
Cooking game,7
Minecraft,18.3
Cooking game,8.7
Sims,7.4
Sims,3.9
Sims,3.3
Cooking game,7
Minecraft,19.7
Cooking game,11.3
Minecraft,20.3
Sims,3.5
Sims,2.5
Minecraft,23.3
Cooking game,8.2
Cooking game,7.9
Sims,5.2
Minecraft,17.6
Minecraft,21
Sims,6.8
Cooking game,9.9
Sims,7.1
Cooking game,6.6
Cooking game,5
Cooking game,8.3
Sims,6.4
Minecraft,17.7
Sims,2.1
Cooking game,6.5
Cooking game,7.2
Cooking game,9.6
Cooking game,8.6
Minecraft,18.5
Cooking game,6.2
Sims,2.2
Minecraft,19.7
Cooking game,9.3
Minecraft,19.5
Minecraft,19.7
Sims,7.9
Sims,5.8
Sims,2.9
Minecraft,21.3
Sims,3.9
Minecraft,21.9
Cooking game,5.8
Minecraft,22.7
Sims,5.4
