"Minutes","Precinct"
4,"Precinct 8"
7.5,"Precinct 8"
10.5,"Precinct 8"
3,"Precinct 8"
10.1,"Precinct 8"
9.3,"Precinct 8"
9.6,"Precinct 8"
15,"Precinct 8"
2.6,"Precinct 8"
15.8,"Precinct 8"
5.2,"Precinct 8"
3.1,"Precinct 8"
5.3,"Precinct 8"
10.4,"Precinct 8"
9.9,"Precinct 8"
7.5,"Precinct 8"
4,"Precinct 8"
5.7,"Precinct 8"
15.6,"Precinct 8"
10.2,"Precinct 8"
6,"Precinct 8"
4.1,"Precinct 8"
8,"Precinct 8"
0.3,"Precinct 8"
6.5,"Precinct 8"
5.2,"Precinct 8"
15.3,"Precinct 8"
14.5,"Precinct 8"
8.7,"Precinct 8"
3.1,"Precinct 8"
13.9,"Precinct 8"
13.6,"Precinct 8"
13,"Precinct 8"
13,"Precinct 8"
7.2,"Precinct 8"
12.8,"Precinct 8"
16,"Precinct 8"
9.3,"Precinct 8"
3.9,"Precinct 8"
13.3,"Precinct 8"
13.3,"Precinct 8"
7.5,"Precinct 8"
18.1,"Precinct 8"
4.9,"Precinct 8"
10.9,"Precinct 8"
-2.9,"Precinct 8"
8.2,"Precinct 8"
15.1,"Precinct 8"
6.7,"Precinct 8"
4.3,"Precinct 8"
13,"Precinct 8"
4.8,"Precinct 8"
10.5,"Precinct 8"
-0.1,"Precinct 8"
1.6,"Precinct 8"
6.7,"Precinct 8"
3.6,"Precinct 8"
16.3,"Precinct 8"
14,"Precinct 8"
4.9,"Precinct 8"
12.1,"Precinct 8"
14,"Precinct 8"
10.5,"Precinct 8"
11,"Precinct 8"
15.3,"Precinct 8"
6.6,"Precinct 8"
6.9,"Precinct 8"
14.2,"Precinct 8"
2.3,"Precinct 8"
10.1,"Precinct 8"
8.9,"Precinct 8"
11.6,"Precinct 8"
14.5,"Precinct 8"
10.5,"Precinct 8"
10.3,"Precinct 8"
13.1,"Precinct 8"
15.6,"Precinct 8"
11.1,"Precinct 8"
3.9,"Precinct 8"
8.3,"Precinct 8"
18.3,"Precinct 8"
7.2,"Precinct 8"
12.7,"Precinct 8"
15.6,"Precinct 8"
13.3,"Precinct 8"
9.1,"Precinct 8"
10.3,"Precinct 8"
4.4,"Precinct 8"
11.4,"Precinct 8"
4.4,"Precinct 8"
4.6,"Precinct 8"
3.9,"Precinct 8"
5.7,"Precinct 8"
14.7,"Precinct 8"
7,"Precinct 8"
8.7,"Precinct 8"
6.7,"Precinct 8"
12,"Precinct 8"
14,"Precinct 8"
8,"Precinct 8"
12.4,"Precinct 8"
7,"Precinct 8"
14.7,"Precinct 8"
12.3,"Precinct 8"
14.5,"Precinct 8"
12.3,"Precinct 8"
10.2,"Precinct 8"
-1,"Precinct 8"
5.5,"Precinct 8"
11.7,"Precinct 8"
6.6,"Precinct 8"
7.6,"Precinct 8"
6.9,"Precinct 8"
17.7,"Precinct 8"
5.3,"Precinct 8"
6.7,"Precinct 8"
9.2,"Precinct 8"
10.2,"Precinct 8"
10.1,"Precinct 8"
8.8,"Precinct 8"
1.2,"Precinct 8"
11,"Precinct 8"
11.8,"Precinct 8"
6.5,"Precinct 8"
12.7,"Precinct 8"
5.1,"Precinct 8"
11.1,"Precinct 8"
5.6,"Precinct 8"
0,"Precinct 8"
15.2,"Precinct 8"
12.8,"Precinct 8"
9.9,"Precinct 8"
9.1,"Precinct 12"
8.8,"Precinct 12"
13.8,"Precinct 12"
12.7,"Precinct 12"
18,"Precinct 12"
6,"Precinct 12"
23.6,"Precinct 12"
14.7,"Precinct 12"
13,"Precinct 12"
12.1,"Precinct 12"
24.3,"Precinct 12"
11.3,"Precinct 12"
15.3,"Precinct 12"
12.8,"Precinct 12"
28.5,"Precinct 12"
8.6,"Precinct 12"
14.2,"Precinct 12"
-4.6,"Precinct 12"
21.4,"Precinct 12"
9.6,"Precinct 12"
27.8,"Precinct 12"
16.1,"Precinct 12"
12.8,"Precinct 12"
21.7,"Precinct 12"
9.7,"Precinct 12"
34.6,"Precinct 12"
16.4,"Precinct 12"
9.6,"Precinct 12"
17.9,"Precinct 12"
17.5,"Precinct 12"
8,"Precinct 12"
12.5,"Precinct 12"
22.6,"Precinct 12"
16,"Precinct 12"
15,"Precinct 12"
7.3,"Precinct 12"
17.6,"Precinct 12"
8.7,"Precinct 12"
17.5,"Precinct 12"
15.5,"Precinct 12"
8.8,"Precinct 12"
-0.1,"Precinct 12"
9.3,"Precinct 12"
17.6,"Precinct 12"
27.6,"Precinct 12"
13.3,"Precinct 12"
7.4,"Precinct 12"
5.1,"Precinct 12"
7.4,"Precinct 12"
10.6,"Precinct 12"
27.8,"Precinct 12"
10.7,"Precinct 12"
8.4,"Precinct 12"
15.2,"Precinct 12"
13.3,"Precinct 12"
6.6,"Precinct 12"
16.6,"Precinct 12"
17.6,"Precinct 12"
31.3,"Precinct 12"
23.7,"Precinct 12"
16.9,"Precinct 12"
5.9,"Precinct 12"
18.2,"Precinct 12"
17.4,"Precinct 12"
10.4,"Precinct 12"
8.5,"Precinct 12"
13,"Precinct 12"
26.2,"Precinct 12"
18.8,"Precinct 12"
26.4,"Precinct 12"
16.6,"Precinct 12"
0.3,"Precinct 12"
8.8,"Precinct 12"
11.1,"Precinct 12"
17.1,"Precinct 12"
12.7,"Precinct 12"
25.6,"Precinct 12"
21.3,"Precinct 12"
7.7,"Precinct 12"
14.6,"Precinct 12"
15.6,"Precinct 12"
7,"Precinct 12"
16,"Precinct 12"
24.4,"Precinct 12"
6.2,"Precinct 12"
16.4,"Precinct 12"
20.8,"Precinct 12"
9.4,"Precinct 12"
2.8,"Precinct 12"
21,"Precinct 12"
12.2,"Precinct 12"
9.5,"Precinct 12"
7.8,"Precinct 12"
20.2,"Precinct 12"
11.6,"Precinct 12"
13,"Precinct 12"
9.8,"Precinct 12"
20.7,"Precinct 12"
3.8,"Precinct 12"
18.2,"Precinct 12"
21.6,"Precinct 12"
12.5,"Precinct 12"
19.7,"Precinct 12"
6.4,"Precinct 12"
19.4,"Precinct 12"
9.1,"Precinct 12"
15.3,"Precinct 12"
2.4,"Precinct 12"
8.3,"Precinct 12"
17.3,"Precinct 12"
16,"Precinct 12"
16.1,"Precinct 12"
18.9,"Precinct 12"
14.2,"Precinct 12"
21.6,"Precinct 12"
0.7,"Precinct 12"
5.9,"Precinct 12"
11,"Precinct 12"
19,"Precinct 12"
16.1,"Precinct 12"
23.7,"Precinct 12"
13,"Precinct 12"
14.8,"Precinct 12"
23.9,"Precinct 12"
12.7,"Precinct 12"
9.6,"Precinct 12"
23.4,"Precinct 12"
23.6,"Precinct 12"
17.1,"Precinct 12"
24.4,"Precinct 12"
19.4,"Precinct 12"
0,"Precinct 12"
22.2,"Precinct 12"
15.4,"Precinct 12"
1.2,"Precinct 12"
3,"Precinct 12"
7.4,"Precinct 12"
17,"Precinct 12"
14.1,"Precinct 12"
19.8,"Precinct 12"
23.4,"Precinct 12"
21.1,"Precinct 12"
-4,"Precinct 12"
