"Pass_number","Team","Play_type"
1,"Team A","Run"
2,"Team A","Pass"
3,"Team A","Pass"
4,"Team A","Pass"
5,"Team A","Pass"
6,"Team A","Pass"
7,"Team A","Run"
8,"Team A","Pass"
9,"Team A","Run"
10,"Team A","Run"
11,"Team A","Pass"
12,"Team A","Run"
13,"Team A","Pass"
14,"Team A","Run"
15,"Team A","Run"
16,"Team A","Pass"
17,"Team A","Pass"
18,"Team A","Run"
19,"Team A","Pass"
20,"Team A","Run"
21,"Team A","Run"
22,"Team A","Pass"
23,"Team A","Pass"
24,"Team A","Run"
25,"Team A","Pass"
26,"Team A","Pass"
27,"Team A","Pass"
28,"Team A","Run"
29,"Team A","Run"
30,"Team A","Pass"
31,"Team A","Run"
32,"Team A","Run"
33,"Team A","Pass"
34,"Team A","Pass"
35,"Team A","Pass"
36,"Team A","Run"
37,"Team A","Run"
38,"Team A","Pass"
39,"Team A","Run"
40,"Team A","Pass"
41,"Team A","Pass"
42,"Team A","Run"
43,"Team A","Pass"
44,"Team A","Pass"
45,"Team A","Run"
46,"Team A","Pass"
47,"Team A","Pass"
48,"Team A","Run"
49,"Team A","Pass"
50,"Team A","Pass"
51,"Team A","Run"
52,"Team A","Run"
53,"Team A","Run"
54,"Team A","Pass"
55,"Team A","Run"
56,"Team A","Run"
57,"Team A","Run"
58,"Team A","Pass"
59,"Team A","Run"
60,"Team A","Pass"
61,"Team A","Pass"
62,"Team A","Run"
63,"Team A","Run"
64,"Team A","Run"
65,"Team A","Pass"
66,"Team A","Pass"
67,"Team A","Pass"
68,"Team A","Run"
69,"Team A","Run"
70,"Team A","Run"
71,"Team A","Pass"
72,"Team A","Run"
73,"Team A","Pass"
74,"Team A","Run"
75,"Team A","Pass"
76,"Team A","Run"
77,"Team A","Run"
78,"Team A","Run"
79,"Team A","Pass"
80,"Team A","Run"
81,"Team A","Pass"
82,"Team A","Pass"
83,"Team A","Run"
84,"Team A","Run"
85,"Team A","Pass"
86,"Team A","Pass"
87,"Team A","Run"
88,"Team A","Pass"
89,"Team A","Pass"
90,"Team A","Run"
91,"Team A","Pass"
92,"Team A","Pass"
93,"Team A","Run"
94,"Team A","Run"
95,"Team A","Run"
96,"Team A","Pass"
97,"Team A","Pass"
98,"Team A","Run"
99,"Team A","Pass"
100,"Team A","Pass"
101,"Team A","Pass"
102,"Team A","Run"
103,"Team A","Pass"
104,"Team A","Pass"
105,"Team A","Run"
106,"Team A","Run"
107,"Team A","Run"
108,"Team A","Run"
109,"Team A","Pass"
110,"Team A","Run"
111,"Team A","Run"
112,"Team A","Pass"
113,"Team A","Pass"
114,"Team A","Pass"
115,"Team A","Run"
116,"Team A","Run"
117,"Team A","Pass"
118,"Team A","Run"
119,"Team A","Run"
120,"Team A","Pass"
121,"Team A","Run"
122,"Team A","Run"
123,"Team A","Run"
124,"Team A","Run"
125,"Team A","Run"
126,"Team A","Run"
127,"Team A","Run"
128,"Team A","Run"
129,"Team A","Pass"
130,"Team A","Run"
131,"Team A","Run"
132,"Team A","Run"
133,"Team A","Pass"
134,"Team A","Run"
135,"Team A","Run"
136,"Team A","Run"
137,"Team A","Run"
138,"Team A","Pass"
139,"Team A","Pass"
140,"Team A","Pass"
141,"Team A","Run"
142,"Team A","Run"
143,"Team A","Pass"
144,"Team A","Pass"
145,"Team A","Run"
146,"Team A","Run"
147,"Team A","Run"
148,"Team A","Run"
149,"Team A","Pass"
150,"Team A","Run"
151,"Team A","Pass"
152,"Team A","Pass"
153,"Team A","Run"
154,"Team A","Pass"
155,"Team A","Run"
156,"Team A","Run"
157,"Team A","Run"
158,"Team A","Run"
159,"Team A","Run"
160,"Team A","Pass"
161,"Team A","Run"
162,"Team A","Pass"
163,"Team A","Pass"
164,"Team A","Pass"
165,"Team A","Run"
166,"Team A","Pass"
167,"Team A","Run"
168,"Team A","Run"
169,"Team A","Run"
170,"Team A","Pass"
171,"Team A","Pass"
172,"Team A","Run"
173,"Team A","Run"
174,"Team A","Pass"
175,"Team A","Pass"
176,"Team A","Run"
177,"Team A","Run"
178,"Team A","Run"
179,"Team A","Run"
180,"Team A","Run"
181,"Team A","Run"
182,"Team A","Run"
183,"Team A","Pass"
184,"Team A","Run"
185,"Team A","Pass"
186,"Team A","Run"
187,"Team A","Pass"
188,"Team A","Run"
189,"Team A","Run"
190,"Team A","Run"
191,"Team A","Pass"
192,"Team A","Run"
193,"Team A","Pass"
194,"Team A","Run"
195,"Team A","Run"
196,"Team A","Run"
197,"Team A","Run"
198,"Team A","Pass"
199,"Team A","Pass"
200,"Team A","Run"
201,"Team A","Run"
202,"Team A","Pass"
203,"Team A","Pass"
204,"Team A","Pass"
205,"Team A","Run"
206,"Team A","Pass"
207,"Team A","Run"
208,"Team A","Run"
209,"Team A","Run"
210,"Team A","Pass"
211,"Team A","Pass"
212,"Team A","Run"
213,"Team A","Run"
214,"Team A","Pass"
215,"Team A","Pass"
216,"Team A","Pass"
217,"Team A","Run"
218,"Team A","Pass"
219,"Team A","Pass"
220,"Team A","Pass"
221,"Team A","Pass"
222,"Team A","Pass"
223,"Team A","Run"
224,"Team A","Run"
225,"Team A","Pass"
226,"Team A","Pass"
227,"Team A","Run"
228,"Team A","Run"
229,"Team A","Run"
230,"Team A","Run"
231,"Team A","Pass"
232,"Team A","Pass"
233,"Team A","Run"
234,"Team A","Pass"
235,"Team A","Run"
236,"Team A","Pass"
237,"Team A","Pass"
238,"Team A","Run"
239,"Team A","Pass"
240,"Team A","Pass"
241,"Team A","Pass"
242,"Team A","Run"
243,"Team A","Pass"
244,"Team A","Pass"
245,"Team A","Run"
246,"Team A","Run"
247,"Team A","Pass"
248,"Team A","Run"
