County,Precinct,Trump,Harris,Other
Rutherford,1-1,1821,2545,56
Rutherford,2-1,4917,1591,72
Rutherford,2-2,1633,669,27
Rutherford,3-1,311,66,6
Rutherford,3-2,4464,2177,96
Rutherford,4-1,4440,2379,99
Rutherford,4-2,294,169,6
Rutherford,5-1,2007,2243,61
Rutherford,6-1,1529,410,17
Rutherford,6-2,5197,2166,91
Rutherford,7-1,4531,3154,114
Rutherford,8-1,7041,2574,120
Rutherford,9-1,7045,3230,160
Rutherford,10-1,1811,1546,58
Rutherford,10-2,2250,1638,58
Rutherford,11-1,1333,1156,33
Rutherford,11-2,1672,1488,55
Rutherford,12-1,1780,1444,63
Rutherford,12-2,994,496,23
Rutherford,13-1,3630,2707,84
Rutherford,14-1,330,267,17
Rutherford,14-2,5115,2927,136
Rutherford,15-1,2997,2125,90
Rutherford,15-2,2219,1279,39
Rutherford,16-1,805,1125,56
Rutherford,16-2,1576,1288,45
Rutherford,17-1,1459,2044,60
Rutherford,18-1,486,980,36
Rutherford,18-2,2313,1557,68
Rutherford,19-1,5961,3442,129
Rutherford,20-1,3801,2827,114
Rutherford,21-1,799,758,31
Rutherford,21-2,2250,2189,69
