"bill_id","session_id","bill_number","status","status_desc","status_date","title","description","committee_id","committee","last_action_date","last_action","url","state_link"
1631974,2002,"SB0003",4,"Passed","3/22/2023","AN ACT to amend Tennessee Code Annotated, Title 7, Chapter 51, Part 14, relative to adult-oriented performances.","As enacted, creates an offense for a person who engages in an adult cabaret performance on public property or in a location where the adult cabaret performance could be viewed by a person who is not an adult. - Amends TCA Title 7, Chapter 51, Part 14.",0,"","3/22/2023","Effective date(s) 04/01/2023","https://legiscan.com/TN/bill/SB0003/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB0003&ga=113"
1631976,2002,"SB0004",4,"Passed","5/17/2023","AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 50, Part 10, relative to deaf mentor programs.","As enacted, establishes a deaf mentor and parent advisor program to assist families in implementing bilingual and bicultural home-based programming for young children who are deaf, hard of hearing, or deaf-blind at the Tennessee Schools for the Deaf and the West Tennessee School for the Deaf. - Amends TCA Title 49, Chapter 50, Part 10.",0,"","5/17/2023","Effective date(s) 07/01/2023","https://legiscan.com/TN/bill/SB0004/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB0004&ga=113"
1631977,2002,"HB0001",4,"Passed","3/22/2023","AN ACT to amend Tennessee Code Annotated, Title 28; Title 29; Title 33; Title 34; Title 36; Title 37; Title 39; Title 40; Title 49; Title 56; Title 63; Title 68 and Title 71, relative to medical care of the young.","As enacted, prohibits a healthcare provider from performing on a minor or administering to a minor a medical procedure if the performance or administration of the procedure is for the purpose of enabling a minor to identify with, or live as, a purported identity inconsistent with the minor’s sex. - Amends TCA Title 28; Title 29; Title 33; Title 34; Title 36; Title 37; Title 39; Title 40; Title 49; Title 56; Title 63; Title 68 and Title 71.",0,"","3/22/2023","Comp. became Pub. Ch. 1","https://legiscan.com/TN/bill/HB0001/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0001&ga=113"
1631978,2002,"SB0001",4,"Passed","3/22/2023","AN ACT to amend Tennessee Code Annotated, Title 28; Title 29; Title 33; Title 34; Title 36; Title 37; Title 39; Title 40; Title 49; Title 56; Title 63; Title 68 and Title 71, relative to medical care of the young.","As enacted, prohibits a healthcare provider from performing on a minor or administering to a minor a medical procedure if the performance or administration of the procedure is for the purpose of enabling a minor to identify with, or live as, a purported identity inconsistent with the minor’s sex. - Amends TCA Title 28; Title 29; Title 33; Title 34; Title 36; Title 37; Title 39; Title 40; Title 49; Title 56; Title 63; Title 68 and Title 71.",0,"","3/22/2023","Effective date(s) 07/01/2023","https://legiscan.com/TN/bill/SB0001/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB0001&ga=113"
1632052,2002,"HB0002",4,"Passed","5/17/2023","AN ACT to amend Tennessee Code Annotated, Title 9; Title 14; Title 29, Chapter 20 and Section 49-7-159, and Chapter 896 of the Public Acts of 2022, relative to COVID-19.","As enacted, makes permanent various provisions regarding COVID-19. - Amends TCA Title 9; Title 14; Title 29, Chapter 20 and Section 49-7-159 and Chapter 896 of the Public Acts of 2022.",0,"","5/17/2023","Comp. became Pub. Ch. 48","https://legiscan.com/TN/bill/HB0002/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0002&ga=113"
1634379,2002,"SB0011",4,"Passed","5/17/2023","AN ACT to amend Tennessee Code Annotated, Title 9; Title 14; Title 29, Chapter 20 and Section 49-7-159, and Chapter 896 of the Public Acts of 2022, relative to COVID-19.","As enacted, makes permanent various provisions regarding COVID-19. - Amends TCA Title 9; Title 14; Title 29, Chapter 20 and Section 49-7-159 and Chapter 896 of the Public Acts of 2022.",0,"","5/17/2023","Effective date(s) 03/21/2023","https://legiscan.com/TN/bill/SB0011/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB0011&ga=113"
1634436,2002,"HB0005",4,"Passed","4/25/2023","AN ACT to amend Tennessee Code Annotated, Title 39 and Title 40, relative to certain offenses against persons.","As enacted, requires that a person convicted of especially aggravated kidnapping, aggravated rape, or rape be sentenced from within at least Range II for the offense. - Amends TCA Title 39 and Title 40.",0,"","4/25/2023","Effective date(s) 07/01/2023","https://legiscan.com/TN/bill/HB0005/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0005&ga=113"
1636530,2002,"SB0012",4,"Passed","5/17/2023","AN ACT to amend Tennessee Code Annotated, Title 49, Chapter 6, relative to the Tennessee Education Savings Account Pilot Program.","As enacted, expands the eligibility criteria for an education savings account to include students zoned to attend an LEA with at least three schools identified as priority schools in 2015, and at least three schools identified as being in the bottom 10 percent of schools in 2017. - Amends TCA Title 49, Chapter 6.",0,"","5/17/2023","Effective date(s) 05/05/2023","https://legiscan.com/TN/bill/SB0012/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB0012&ga=113"
1637133,2002,"HB0009",4,"Passed","3/22/2023","AN ACT to amend Tennessee Code Annotated, Title 7, Chapter 51, Part 14, relative to adult-oriented performances.","As enacted, creates an offense for a person who engages in an adult cabaret performance on public property or in a location where the adult cabaret performance could be viewed by a person who is not an adult. - Amends TCA Title 7, Chapter 51, Part 14.",0,"","3/22/2023","Comp. became Pub. Ch. 2","https://legiscan.com/TN/bill/HB0009/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB0009&ga=113"
1638443,2002,"SB0013",4,"Passed","5/17/2023","AN ACT to amend Tennessee Code Annotated, Title 40, relative to fines.","As enacted, prohibits a court clerk, upon request by an individual on a payment or installment plan, from requiring the individual to pay outstanding court-assessed fines, fees, taxes, or costs arising from a criminal proceeding during the 180-day period following the individual's release from a term of imprisonment sentence of one year or more for a felony offense; excludes from this provision restitution owed to a victim and certain fines, fees, taxes, or costs that have been sent to a collection agency. - Amends TCA Title 40.",0,"","5/17/2023","Effective date(s) 05/05/2023","https://legiscan.com/TN/bill/SB0013/2023","https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=SB0013&ga=113"
