GEOID,District,Party,Dem,Rep,Ind
47001,1,Rep,No candidate,John Crawford,No candidate
47002,2,Rep,No candidate,Bud Hulsey,No candidate
47003,3,Counting,Lori Love,Timothy Hill,No candidate
47004,4,Rep,No candidate,Renea Jones,No candidate
47005,5,Counting,No candidate,David Hawk,Rebecca Anderson
47006,6,Counting,Brad Batt,Tim Hicks,No candidate
47007,7,Counting,Sylvain Bruni,Rebecca Alexander,No candidate
47008,8,Counting,Sue Dubois,Jerome Moon,No candidate
47009,9,Rep,No candidate,Gary Hicks,No candidate
47010,10,Rep,No candidate,Rick Eldridge,No candidate
47011,11,Counting,Justin Gross,Jeremy Faison,No candidate
47012,12,Counting,Leslie Braddock,Fred Atchley,No candidate
47013,13,Counting,Jonathan Yancey,Robert Stevens,No candidate
47014,14,Counting,Amanda Collins,Jason Zachary,No candidate
47015,15,Counting,Sam McKenzie,Justin Hirst,No candidate
47016,16,Counting,Lauren Carver,Michele Carringer,Sean Eastham
47017,17,Rep,No candidate,Andrew Farmer,No candidate
47018,18,Counting,Bryan Goldberg,Elaine Davis,No candidate
47019,19,Rep,No candidate,Dave Wright,No candidate
47020,20,Counting,Karen Gertz,Tom Stinnett,No candidate
47021,21,Counting,Kenneth Moore,Lowell Russell,No candidate
47022,22,Counting,Anna Miller Grabowski,Dan Howell,No candidate
47023,23,Counting,David Thomforde,Mark Cochran,No candidate
47024,24,Counting,Andrea Chase,Kevin Raper,No candidate
47025,25,Counting,Wesley Adkins,Cameron Sexton,No candidate
47026,26,Counting,Allison Gorman,Greg Martin,No candidate
47027,27,Counting,Kathy Lennon,Michele Reneau,No candidate
47028,28,Counting,Yusuf Hakeem,No candidate,Thomas Brooks
47029,29,Counting,Ryan Scofield,Greg Vital,No candidate
47030,30,Counting,Heather McClendon,Esther Helton,No candidate
47031,31,Counting,Brittany Warfel,Ron Travis,William Jenkins
47032,32,Rep,No candidate,Monty Fritts,No candidate
47033,33,Counting,Anne Backus,Richard Scarbrough,No candidate
47034,34,Counting,Amelia Pant,Tim Rudd,No candidate
47035,35,Counting,Lexi Melton,William Slater,No candidate
47036,36,Rep,No candidate,Dennis Powers,No candidate
47037,37,Counting,Cheri Brown,Charlie Baum,No candidate
47038,38,Counting,No candidate,Kelly Keisling,Alexander Armor
47039,39,Counting,Rose Mary Drake,Iris Rudder,No candidate
47040,40,Counting,Daniel Hawthorne,Michael Hale,No candidate
47041,41,Counting,Derek Hawn,Ed Butler,No candidate
47042,42,Counting,Amber Taylor,Ryan Williams,No candidate
47043,43,Rep,No candidate,Paul Sherrell,No candidate
47044,44,Counting,Brian Robertson,William Lamberth,No candidate
47045,45,Counting,Alison Beale,Johnny Garrett,No candidate
47046,46,Counting,Joni Cochran,Clark Boyd,No candidate
47047,47,Counting,No candidate,Rush Bricken,Veronica Owens
47048,48,Counting,Matt Ferry,Bryan Terry,No candidate
47049,49,Counting,Luis Mata,Mike Sparks,No candidate
47050,50,Counting,Bo Mitchell,Jennifer Frensley Webb,No candidate
47051,51,Counting,Aftyn Behn,No candidate,Jeffry Ketelsen
47052,52,Counting,Justin Jones,Laura Nelson,No candidate
47053,53,Counting,Jason Powell,Yog Nepal,Rueben Dockery
47054,54,Dem,Vincent Dixie,No candidate,No candidate
47055,55,Dem,John Ray Clemmons,No candidate,No candidate
47056,56,Dem,Bob Freeman,No candidate,No candidate
47057,57,Counting,Ailina Carona,Susan Lynn,No candidate
47058,58,Dem,Harold Love,No candidate,No candidate
47059,59,Dem,Caleb Hemmer,No candidate,No candidate
47060,60,Counting,Shaundelle Brooks,Chad Bobo,No candidate
47061,61,Counting,Claire Jones,Gino Bulso,Alana LeBlanc
47062,62,Rep,No candidate,Pat Marsh,No candidate
47063,63,Counting,Laura Andreson,Jake McCalmon,No candidate
47064,64,Counting,Eileen Longstreet,Scott Cepicky,No candidate
47065,65,Counting,LaRhonda Williams,Lee Reeves,No candidate
47066,66,Counting,Elizabeth Webb,Sabi Kumar,Kevin Mead
47067,67,Counting,Ronnie Glynn,Jamie Peltz,No candidate
47068,68,Counting,Garfield Scott,Aron Maberry,No candidate
47069,69,Rep,No candidate,Jody Barrett,No candidate
47070,70,Counting,Jason Luttrell,Clay Doggett,No candidate
47071,71,Counting,Timothy Coy,Kip Capley,No candidate
47072,72,Rep,No candidate,Kirk Haston,No candidate
47073,73,Rep,No candidate,Chris Todd,No candidate
47074,74,Rep,No candidate,Jay Reedy,No candidate
47075,75,Counting,Allie Phillips,Jeff Burkhart,No candidate
47076,76,Counting,No candidate,Tandy Darby,James Hart
47077,77,Rep,No candidate,Rusty Grills,No candidate
47078,78,Counting,Deborah Doyle,Mary Littleton,No candidate
47079,79,Rep,No candidate,Brock Martin,No candidate
47080,80,Counting,Johnny Shaw,Brad Grantham,No candidate
47081,81,Rep,No candidate,Debra Moody,No candidate
47082,82,Rep,No candidate,Chris Hurt,No candidate
47083,83,Counting,Noah Nordstrom,Mark White,No candidate
47084,84,Dem,Joe Towns Jr.,No candidate,No candidate
47085,85,Counting,Jesse Chism,Primary results pending,No candidate
47086,86,Counting,Justin Pearson,No candidate,Jeff Johnston
47087,87,Dem,Karen Camper,No candidate,No candidate
47088,88,Counting,Larry Miller,Larry Hunter,No candidate
47089,89,Counting,Cary Hammond,Justin Lafferty,No candidate
47090,90,Dem,Gloria Johnson,No candidate,No candidate
47091,91,Dem,Torrey Harris,No candidate,No candidate
47092,92,Counting,Teri Mai,Todd Warner,No candidate
47093,93,Counting,G.A. Hardaway,Renarda Clariett,No candidate
47094,94,Counting,Terry Saine,Ron Gant,No candidate
47095,95,Rep,No candidate,Kevin Vaughan,No candidate
47096,96,Dem,Gabby Salinas,No candidate,No candidate
47097,97,Counting,Jesse Huseth,John Gillespie,No candidate
47098,98,Counting,Antonio Parkinson,Cecil Hale,No candidate
47099,99,Counting,No candidate,Tom Leatherwood,William Mouzon
