"Game","Team","FGP"
1,"Team A",0.334
2,"Team A",0.401
3,"Team A",0.456
4,"Team A",0.315
5,"Team A",0.45
6,"Team A",0.433
7,"Team A",0.439
8,"Team A",0.542
9,"Team A",0.308
10,"Team A",0.557
11,"Team A",0.356
12,"Team A",0.317
13,"Team A",0.358
14,"Team A",0.455
15,"Team A",0.445
16,"Team A",0.399
17,"Team A",0.335
18,"Team A",0.365
19,"Team A",0.552
20,"Team A",0.45
21,"Team A",0.372
22,"Team A",0.336
23,"Team A",0.41
24,"Team A",0.263
25,"Team A",0.382
26,"Team A",0.356
27,"Team A",0.546
28,"Team A",0.531
29,"Team A",0.423
30,"Team A",0.316
31,"Team A",0.52
32,"Team A",0.515
33,"Team A",0.503
34,"Team A",0.504
35,"Team A",0.395
