Date,Series,Value
2024-07-01,Article Count,2173
2024-07-01,Total Monitored Articles,160604
2024-07-02,Article Count,3399
2024-07-02,Total Monitored Articles,179768
2024-07-03,Article Count,2289
2024-07-03,Total Monitored Articles,177855
2024-07-04,Article Count,1645
2024-07-04,Total Monitored Articles,193278
2024-07-05,Article Count,2309
2024-07-05,Total Monitored Articles,199750
2024-07-06,Article Count,2004
2024-07-06,Total Monitored Articles,157083
2024-07-07,Article Count,1328
2024-07-07,Total Monitored Articles,130927
2024-07-08,Article Count,1700
2024-07-08,Total Monitored Articles,147898
2024-07-09,Article Count,2153
2024-07-09,Total Monitored Articles,152804
2024-07-10,Article Count,2752
2024-07-10,Total Monitored Articles,215933
2024-07-11,Article Count,2903
2024-07-11,Total Monitored Articles,205430
2024-07-12,Article Count,3284
2024-07-12,Total Monitored Articles,198313
2024-07-13,Article Count,1681
2024-07-13,Total Monitored Articles,132717
2024-07-14,Article Count,8144
2024-07-14,Total Monitored Articles,140079
2024-07-15,Article Count,7555
2024-07-15,Total Monitored Articles,191877
2024-07-16,Article Count,7124
2024-07-16,Total Monitored Articles,182588
2024-07-17,Article Count,6090
2024-07-17,Total Monitored Articles,184270
2024-07-18,Article Count,5635
2024-07-18,Total Monitored Articles,182116
2024-07-19,Article Count,5729
2024-07-19,Total Monitored Articles,184219
2024-07-20,Article Count,3165
2024-07-20,Total Monitored Articles,164644
2024-07-21,Article Count,6300
2024-07-21,Total Monitored Articles,150044
2024-07-22,Article Count,3144
2024-07-22,Total Monitored Articles,89543
2024-07-23,Article Count,4853
2024-07-23,Total Monitored Articles,190208
2024-07-24,Article Count,3310
2024-07-24,Total Monitored Articles,173006
2024-07-25,Article Count,2135
2024-07-25,Total Monitored Articles,144518
2024-07-26,Article Count,2409
2024-07-26,Total Monitored Articles,165640
2024-07-27,Article Count,1606
2024-07-27,Total Monitored Articles,122465
2024-07-28,Article Count,1196
2024-07-28,Total Monitored Articles,95008
2024-07-29,Article Count,2068
2024-07-29,Total Monitored Articles,162348
2024-07-30,Article Count,2936
2024-07-30,Total Monitored Articles,190973
2024-07-31,Article Count,3311
2024-07-31,Total Monitored Articles,198619
2024-08-01,Article Count,3003
2024-08-01,Total Monitored Articles,189920
2024-08-02,Article Count,2333
2024-08-02,Total Monitored Articles,178894
2024-08-03,Article Count,1731
2024-08-03,Total Monitored Articles,140406
2024-08-04,Article Count,1143
2024-08-04,Total Monitored Articles,110426
2024-08-05,Article Count,813
2024-08-05,Total Monitored Articles,79248
2024-08-06,Article Count,2073
2024-08-06,Total Monitored Articles,149617
2024-08-07,Article Count,2258
2024-08-07,Total Monitored Articles,170721
2024-08-08,Article Count,2010
2024-08-08,Total Monitored Articles,165274
2024-08-09,Article Count,1872
2024-08-09,Total Monitored Articles,166906
2024-08-10,Article Count,1406
2024-08-10,Total Monitored Articles,118279
2024-08-11,Article Count,1262
2024-08-11,Total Monitored Articles,89140
2024-08-12,Article Count,1253
2024-08-12,Total Monitored Articles,136137
2024-08-13,Article Count,3286
2024-08-13,Total Monitored Articles,185310
2024-08-14,Article Count,3121
2024-08-14,Total Monitored Articles,199813
2024-08-15,Article Count,2584
2024-08-15,Total Monitored Articles,179147
2024-08-16,Article Count,1644
2024-08-16,Total Monitored Articles,128548
2024-08-17,Article Count,1555
2024-08-17,Total Monitored Articles,138475
2024-08-18,Article Count,1638
2024-08-18,Total Monitored Articles,136961
2024-08-19,Article Count,1917
2024-08-19,Total Monitored Articles,160250
2024-08-20,Article Count,2009
2024-08-20,Total Monitored Articles,104431
2024-08-21,Article Count,3689
2024-08-21,Total Monitored Articles,194803
2024-08-22,Article Count,3872
2024-08-22,Total Monitored Articles,197770
2024-08-23,Article Count,3792
2024-08-23,Total Monitored Articles,157712
2024-08-24,Article Count,1656
2024-08-24,Total Monitored Articles,156573
2024-08-25,Article Count,1431
2024-08-25,Total Monitored Articles,129669
2024-08-26,Article Count,2013
2024-08-26,Total Monitored Articles,167063
2024-08-27,Article Count,3079
2024-08-27,Total Monitored Articles,198998
2024-08-28,Article Count,2836
2024-08-28,Total Monitored Articles,178875
2024-08-29,Article Count,2408
2024-08-29,Total Monitored Articles,186736
2024-08-30,Article Count,3017
2024-08-30,Total Monitored Articles,179304
2024-08-31,Article Count,1061
2024-08-31,Total Monitored Articles,111009
2024-09-01,Article Count,1014
2024-09-01,Total Monitored Articles,116407
2024-09-02,Article Count,1184
2024-09-02,Total Monitored Articles,209420
2024-09-03,Article Count,1874
2024-09-03,Total Monitored Articles,206592
2024-09-04,Article Count,2553
2024-09-04,Total Monitored Articles,199483
2024-09-05,Article Count,2951
2024-09-05,Total Monitored Articles,180598
2024-09-06,Article Count,2569
2024-09-06,Total Monitored Articles,190187
2024-09-07,Article Count,1422
