ZIP,ALAND20
37010,204310370
37012,95471036
37013,101549509
37014,56884411
37015,403242535
37016,86426187
37018,104375417
37019,45899959
37020,238055887
37022,225668310
37023,45370529
37025,165543316
37026,132488636
37027,147640502
37028,40053653
37029,112897704
37030,168410066
37031,99075632
37032,204589170
37033,689618486
37034,188726199
37035,76118281
37036,257930402
37037,200888144
37040,240408015
37042,147292138
37043,280922730
37046,184838598
37047,170592238
37048,120282373
37049,69274270
37050,137009607
37051,208615608
37052,90277897
37055,522526592
37057,76273631
37058,476494868
37059,72840873
37060,104642870
37061,229905394
37062,179208474
37064,476561090
37066,301307565
37067,84257029
37069,93101841
37072,200827149
37073,132635055
37074,258566352
37075,152916107
37076,72028806
37078,249341275
37079,204085431
37080,127291897
37082,109779290
37083,382396357
37085,142285296
37086,64173213
37087,427136946
37090,431082969
37091,533412331
37095,200101680
37096,801958750
37097,242296836
37098,151501705
37101,517751727
37110,967771611
37115,55575063
37118,85012125
37122,289101657
37127,121929978
37128,146766965
37129,207208889
37130,140204612
37132,1598871
37134,101323916
37135,95539548
37137,223351108
37138,46429311
37140,66922770
37141,52484529
37142,96426500
37143,85815677
37144,338265860
37145,205475448
37146,79288577
37148,341491667
37149,166152482
37150,268067177
37151,43990067
37153,135306118
37160,604205074
37165,875185
37166,400383492
37167,142444561
37171,61958069
37172,465601429
37174,180504804
37175,194361557
37178,109676430
37179,137377190
37180,87281707
37181,135405094
37183,213458139
37184,285818648
37185,581444303
37186,279421344
37187,184260354
37188,79620289
37189,65343011
37190,359683239
37191,118895626
37201,831543
37203,10863669
37204,18891569
37205,36944696
37206,20074192
37207,50100618
37208,12472848
37209,87150256
37210,24035438
37211,56268799
37212,7122448
37213,1838319
37214,56848312
37215,39697553
37216,17428171
37217,45996969
37218,101114903
37219,558282
37220,19973251
37221,127781482
37228,3775476
37232,168653
37238,12052
37301,158525659
37302,44706452
37303,385757536
37305,42170677
37306,306747175
37307,148997032
37308,95820377
37309,102247212
37310,110667662
37311,129756743
37312,166863748
37313,52513144
37315,328206
37316,387315
37317,194758753
37318,32152988
37321,295286050
37322,349058347
37323,296844031
37324,172242407
37325,56026222
37326,4593015
37327,495724046
37328,83055934
37329,153550111
37330,100634200
37331,101949911
37332,176666629
37333,52212217
37334,658396852
37335,114781472
37336,113214031
37337,156700169
37338,187529624
37339,102140199
37340,21881598
37341,87434962
37342,177346291
37343,109027656
37345,146137685
37347,126700035
37348,77506232
37350,3478351
37351,1129248
37352,129153415
37353,104793781
37354,304677029
37355,536243555
37356,63596334
37357,348894584
37359,100355888
37360,71556735
37361,73799151
37362,173121661
37363,155712501
37365,146107575
37366,135767022
37367,769301174
37369,280554400
37370,159934720
37373,105125221
37374,149401901
37375,177720126
37376,210233800
37377,208390547
37379,275516302
37380,326779863
37381,352686295
37383,378867
37385,692157848
37387,192154574
37388,305378927
37391,66285849
37394,371358
37396,12875561
37397,386788124
37398,283188949
37402,3330089
37403,4416114
37404,13420290
37405,140706968
37406,31430368
37407,8804866
37408,5503532
37409,11438778
37410,7831629
37411,19009871
37412,22426142
37415,45375224
37416,53209083
37419,126920641
37421,82111469
37450,12867
37601,123596071
37604,85527903
37614,1277737
37615,97375366
37616,114799367
37617,151309185
37618,179503099
37620,332013671
37640,271949295
37641,242565143
37642,145627993
37643,339516972
37645,16187018
37650,251158379
37656,75393003
37657,95121495
37658,116264011
37659,328727908
37660,170195142
37663,66699209
37664,87885374
37665,7839733
37680,75411920
37681,168875818
37682,264071
37683,347350014
37686,76303026
37687,246725803
37688,140232774
37690,65384775
37691,37152100
37692,137484942
37694,32738633
37701,27816923
37705,115524905
37708,106996072
37709,107509018
37710,208526053
37711,134954502
37713,77470257
37714,166706607
37715,66248711
37716,216165309
37719,1693119
37721,127638023
37722,232444359
37723,146182305
37724,55851540
37725,241888788
37726,235579412
37727,287189816
37729,127556206
37730,3911932
37731,128719020
37732,5333052
37733,2098061
37737,69093553
37738,555735835
37742,127973109
37743,575515391
37745,315744982
37748,276044619
37752,122250509
37753,82903198
37754,99003113
37755,98217848
37756,306176276
37757,73285956
37760,105436980
37762,39455613
37763,222555243
37764,88233006
37765,50483723
37766,355673968
37769,77763132
37770,353091459
37771,129881414
37772,100149798
37774,228400767
37777,85154688
37779,89513245
37801,179715138
37803,227270040
37804,90284844
37806,47070398
37807,207082857
37809,80256702
37810,86946115
37811,100057319
37813,150228859
37814,113591321
37818,119511437
37819,54417211
37820,175127015
37821,336119476
37825,225390772
37826,139180160
37828,8301844
37829,114632078
37830,219684960
37840,209050584
37841,381536984
37843,136515667
37845,10356373
37846,188032358
37847,378056763
37848,20716570
37849,102931713
37851,14511730
37852,271343880
37853,43390635
37854,353306703
37857,610331573
37860,62337817
37861,255327524
37862,211823473
37863,44626503
37865,189910955
37866,143347917
37869,344067696
37870,214924159
37871,101271011
37872,238005911
37873,162222159
37874,266401067
37876,483910972
37877,68529436
37878,67222345
37879,453880575
37880,190616481
37881,186111836
37882,476121707
37885,375723772
37886,109759618
37887,210829100
37888,144359086
37890,89277458
37891,90306115
37892,182913656
37902,1144853
37909,17613324
37912,27346530
37914,102855465
37915,4880617
37916,3649446
37917,24609705
37918,89506023
37919,49485359
37920,187253582
37921,41182693
37922,71812730
37923,28717017
37924,72168293
37929,10896
37931,73469126
37932,75093217
37934,45133116
37938,83823618
